leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) X,leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) Y,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) X,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ss" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ss" ) Y
0.9999998688783416,0,0,0.9999998688783416
0.9999998441001791,0.02,0.02,0.9999998441001791
0.9999998019308121,0.04,0.04,0.9999998019308121
0.9999997293892829,0.06,0.06,0.9999997293892829
0.9999996036718941,0.08,0.08,0.9999996036718941
0.9999993841889798,0.1,0.1,0.9999993841889798
0.9999989982241899,0.12,0.12,0.9999989982241899
0.9999983145427276,0.14,0.14,0.9999983145427276
0.9999970943772248,0.16,0.16,0.9999970943772248
0.9999948994829941,0.18,0.18,0.9999948994829941
0.9999909178396164,0.2,0.2,0.9999909178396164
0.9999836296748269,0.22,0.22,0.9999836296748269
0.9999701695081938,0.24,0.24,0.9999701695081938
0.99994508763059,0.26,0.26,0.99994508763059
0.9998978892525779,0.28,0.28,0.9998978892525779
0.999808183965049,0.3,0.3,0.999808183965049
0.9996359979518317,0.32,0.32,0.9996359979518317
0.9993022707382018,0.34,0.34,0.9993022707382018
0.9986490166570888,0.36,0.36,0.9986490166570888
0.9973554362737324,0.3800000000000001,0.3800000000000001,0.9973554362737324
0.9947491976860748,0.4000000000000001,0.4000000000000001,0.9947491976860748
0.9892942206568068,0.4200000000000001,0.4200000000000001,0.9892942206568068
0.9768565372016403,0.4400000000000001,0.4400000000000001,0.9768565372016403
0.9370717967974731,0.4600000000000001,0.4600000000000001,0.9370717967974731
0.6590227310569386,0.4800000000000001,0.4800000000000001,0.6590227310569386
0.2840119066725497,0.5000000000000001,0.5000000000000001,0.2840119066725497
0.06368831714508112,0.5200000000000001,0.5200000000000001,0.06368831714508112
0.02185998703544579,0.5400000000000001,0.5400000000000001,0.02185998703544579
0.01006051267056422,0.5600000000000002,0.5600000000000002,0.01006051267056422
0.004926897513614992,0.5800000000000002,0.5800000000000002,0.004926897513614992
0.002470389888593547,0.6000000000000002,0.6000000000000002,0.002470389888593547
0.001249878917862012,0.6200000000000002,0.6200000000000002,0.001249878917862012
0.0006361354345570331,0.6400000000000002,0.6400000000000002,0.0006361354345570331
0.0003241702757958057,0.6600000000000003,0.6600000000000003,0.0003241702757958057
0.0001653029122801553,0.6800000000000003,0.6800000000000003,0.0001653029122801553
8.437390126894221e-05,0.7000000000000003,0.7000000000000003,8.437390126894221e-05
4.314519384650693e-05,0.7200000000000003,0.7200000000000003,4.314519384650693e-05
2.212967226781249e-05,0.7400000000000003,0.7400000000000003,2.212967226781249e-05
1.140186056101264e-05,0.7600000000000003,0.7600000000000003,1.140186056101264e-05
5.912142112574684e-06,0.7800000000000004,0.7800000000000004,5.912142112574684e-06
3.093246277027635e-06,0.8000000000000004,0.8000000000000004,3.093246277027635e-06
1.639535145187708e-06,0.8200000000000004,0.8200000000000004,1.639535145187708e-06
8.860194096648256e-07,0.8400000000000004,0.8400000000000004,8.860194096648256e-07
4.934809099692715e-07,0.8600000000000004,0.8600000000000004,4.934809099692715e-07
2.87614819854915e-07,0.8800000000000004,0.8800000000000004,2.87614819854915e-07
1.786090120316057e-07,0.9000000000000005,0.9000000000000005,1.786090120316057e-07
1.202358384987599e-07,0.9200000000000005,0.9200000000000005,1.202358384987599e-07
8.854916075621143e-08,0.9400000000000005,0.9400000000000005,8.854916075621143e-08
7.106250369632022e-08,0.9600000000000005,0.9600000000000005,7.106250369632022e-08
6.12213191262168e-08,0.9800000000000005,0.9800000000000005,6.12213191262168e-08
5.554481381264763e-08,1,1,5.554481381264763e-08
