leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) X,leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) Y,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) X,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) Y
1.19999835686642,0,0,1.19999835686642
1.199997248966093,0.024,0.024,1.199997248966093
1.199995212443488,0.048,0.048,1.199995212443488
1.199991481798279,0.07200000000000001,0.07200000000000001,1.199991481798279
1.199984684468052,0.096,0.096,1.199984684468052
1.199972367156033,0.12,0.12,1.199972367156033
1.199950198337882,0.144,0.144,1.199950198337882
1.199910642893419,0.168,0.168,1.199910642893419
1.199840829995463,0.192,0.192,1.199840829995463
1.199719248845587,0.216,0.216,1.199719248845587
1.199510820067023,0.24,0.24,1.199510820067023
1.199159769424549,0.264,0.264,1.199159769424549
1.198579431494549,0.288,0.288,1.198579431494549
1.197637317941992,0.312,0.312,1.197637317941992
1.196131982333922,0.336,0.336,1.196131982333922
1.193754533603946,0.36,0.36,1.193754533603946
1.190019888791047,0.3840000000000001,0.3840000000000001,1.190019888791047
1.18413358655801,0.4080000000000001,0.4080000000000001,1.18413358655801
1.174701247784094,0.4320000000000001,0.4320000000000001,1.174701247784094
1.158962449166508,0.4560000000000001,0.4560000000000001,1.158962449166508
1.129706225674744,0.4800000000000001,0.4800000000000001,1.129706225674744
1.053923256949897,0.5040000000000001,0.5040000000000001,1.053923256949897
0.7748841165458501,0.5280000000000001,0.5280000000000001,0.7748841165458501
0.3962595581162807,0.5520000000000002,0.5520000000000002,0.3962595581162807
0.1359261259206719,0.5760000000000002,0.5760000000000002,0.1359261259206719
0.05924409468862311,0.6000000000000002,0.6000000000000002,0.05924409468862311
0.03409759107852744,0.6240000000000002,0.6240000000000002,0.03409759107852744
0.02080107629350242,0.6480000000000002,0.6480000000000002,0.02080107629350242
0.01298111383942751,0.6720000000000003,0.6720000000000003,0.01298111383942751
0.008180250315056389,0.6960000000000003,0.6960000000000003,0.008180250315056389
0.005181105502709375,0.7200000000000003,0.7200000000000003,0.005181105502709375
0.003281847199293548,0.7440000000000003,0.7440000000000003,0.003281847199293548
0.002071674960378671,0.7680000000000003,0.7680000000000003,0.002071674960378671
0.001298512272463627,0.7920000000000004,0.7920000000000004,0.001298512272463627
0.0008051203334536819,0.8160000000000004,0.8160000000000004,0.0008051203334536819
0.0004920581002851751,0.8400000000000004,0.8400000000000004,0.0004920581002851751
0.0002955543763980253,0.8640000000000004,0.8640000000000004,0.0002955543763980253
0.0001741544880533905,0.8880000000000005,0.8880000000000005,0.0001741544880533905
0.0001006462219364363,0.9120000000000005,0.9120000000000005,0.0001006462219364363
5.714154627182937e-05,0.9360000000000005,0.9360000000000005,5.714154627182937e-05
3.199807719503553e-05,0.9600000000000005,0.9600000000000005,3.199807719503553e-05
1.779510000220842e-05,0.9840000000000005,0.9840000000000005,1.779510000220842e-05
9.93584623236314e-06,1.008,1.008,9.93584623236314e-06
5.662036566211055e-06,1.032,1.032,5.662036566211055e-06
3.369592723794881e-06,1.056,1.056,3.369592723794881e-06
2.151701875152382e-06,1.080000000000001,1.080000000000001,2.151701875152382e-06
1.50794304452948e-06,1.104000000000001,1.104000000000001,1.50794304452948e-06
1.167542444695557e-06,1.128000000000001,1.128000000000001,1.167542444695557e-06
9.863386268682309e-07,1.152000000000001,1.152000000000001,9.863386268682309e-07
8.884389302870927e-07,1.176000000000001,1.176000000000001,8.884389302870927e-07
8.337993390302317e-07,1.2,1.2,8.337993390302317e-07
