/BL (modelFiles=gpdk045.scs:ss) X,/BL (modelFiles=gpdk045.scs:ss) Y,/BLB (modelFiles=gpdk045.scs:ss) X,/BLB (modelFiles=gpdk045.scs:ss) Y,/Q (modelFiles=gpdk045.scs:ss) X,/Q (modelFiles=gpdk045.scs:ss) Y,/QB (modelFiles=gpdk045.scs:ss) X,/QB (modelFiles=gpdk045.scs:ss) Y,/VDD (modelFiles=gpdk045.scs:ss) X,/VDD (modelFiles=gpdk045.scs:ss) Y,/WL (modelFiles=gpdk045.scs:ss) X,/WL (modelFiles=gpdk045.scs:ss) Y,/V0/PLUS (modelFiles=gpdk045.scs:ss) X,/V0/PLUS (modelFiles=gpdk045.scs:ss) Y
0,0,0,0.8,0,5.762006695000497e-08,0,0.7999998452657394,0,0.8,0,0,0,-1.135613662768454e-11
3.2e-11,0,3.2e-11,0.8,3.2e-11,5.762007375051681e-08,3.2e-11,0.7999998452658942,3.2e-11,0.8,3.2e-11,0,3.2e-11,-1.13560832031405e-11
9.599999999999999e-11,0,9.599999999999999e-11,0.8,9.599999999999999e-11,5.762006863953084e-08,9.599999999999999e-11,0.7999998452659393,9.599999999999999e-11,0.8,9.599999999999999e-11,0,9.599999999999999e-11,-1.135608173209118e-11
2.24e-10,0,2.24e-10,0.8,2.24e-10,5.762007102031916e-08,2.24e-10,0.7999998452661663,2.24e-10,0.8,2.24e-10,0,2.24e-10,-1.135606950667996e-11
4.8e-10,0,4.8e-10,0.8,4.8e-10,5.762005712217144e-08,4.8e-10,0.7999998452656774,4.8e-10,0.8,4.8e-10,0,4.8e-10,-1.13560968021219e-11
9.919999999999999e-10,0,9.919999999999999e-10,0.8,9.919999999999999e-10,5.762007883588249e-08,9.919999999999999e-10,0.7999998452660714,9.919999999999999e-10,0.8,9.919999999999999e-10,0,9.919999999999999e-10,-1.135607333227547e-11
1.632e-09,0,1.632e-09,0.8,1.632e-09,5.762005651554349e-08,1.632e-09,0.7999998452662584,1.632e-09,0.8,1.632e-09,0,1.632e-09,-1.135606689558822e-11
1.99e-09,0,1.99e-09,0.8,1.99e-09,5.762007371498712e-08,1.99e-09,0.7999998452659389,1.99e-09,0.8,1.99e-09,0,1.99e-09,-1.13560806551226e-11
1.990083437499e-09,0.006674999999993557,1.990083437499e-09,0.7933250000000065,1.990083437499e-09,2.697700585170089e-07,1.990083437499e-09,0.7999993273003408,1.990083437499e-09,0.8,1.990083437499e-09,0,1.990083437499e-09,-9.760368707514729e-10
1.990250312499e-09,0.02002499999998067,1.990250312499e-09,0.7799750000000194,1.990250312499e-09,5.501722197838574e-08,1.990250312499e-09,0.7999992696306575,1.990250312499e-09,0.8,1.990250312499e-09,0,1.990250312499e-09,4.244963476403912e-10
1.990584062499e-09,0.0467249999999549,1.990584062499e-09,0.7532750000000451,1.990584062499e-09,-1.274351361005324e-07,1.990584062499e-09,0.7999992469532119,1.990584062499e-09,0.8,1.990584062499e-09,0,1.990584062499e-09,-6.560246281131843e-10
1.991143171025e-09,0.0914536820509977,1.991143171025e-09,0.7085463179490024,1.991143171025e-09,-1.99198815195649e-07,1.991143171025e-09,0.799999249263604,1.991143171025e-09,0.8,1.991143171025e-09,0,1.991143171025e-09,5.321056127044552e-10
1.992261388076e-09,0.1809110461530833,1.992261388076e-09,0.6190889538469168,1.992261388076e-09,-2.361649008222699e-07,1.992261388076e-09,0.7999993048037345,1.992261388076e-09,0.8,1.992261388076e-09,0,1.992261388076e-09,-5.949738679443223e-10
1.994497822179e-09,0.3598257743572545,1.994497822179e-09,0.4401742256427456,1.994497822179e-09,-2.150900084066217e-07,1.994497822179e-09,0.7999993530857117,1.994497822179e-09,0.8,1.994497822179e-09,0,1.994497822179e-09,5.496876624971693e-10
1.997248911089e-09,0.5799128871786272,1.997248911089e-09,0.2200871128213728,1.997248911089e-09,-1.380680976562048e-07,1.997248911089e-09,0.7999994801727215,1.997248911089e-09,0.8,1.997248911089e-09,0,1.997248911089e-09,-5.896395879482811e-10
2e-09,0.8,2e-09,0,2e-09,-5.065021439067359e-08,2e-09,0.7999995600225832,2e-09,0.8,2e-09,0,2e-09,5.495147526282927e-10
2.0000834375e-09,0.8,2.0000834375e-09,0,2.0000834375e-09,-5.305349759396723e-07,2.0000834375e-09,0.8000000289921678,2.0000834375e-09,0.8,2.0000834375e-09,0,2.0000834375e-09,4.839121043897714e-10
2.0002503125e-09,0.8,2.0002503125e-09,0,2.0002503125e-09,-5.211729417409175e-07,2.0002503125e-09,0.8000000450877245,2.0002503125e-09,0.8,2.0002503125e-09,0,2.0002503125e-09,-4.159237738176008e-10
2.000584062499e-09,0.8,2.000584062499e-09,0,2.000584062499e-09,-4.750421780903719e-07,2.000584062499e-09,0.8000000375667111,2.000584062499e-09,0.8,2.000584062499e-09,0,2.000584062499e-09,4.156103553750045e-10
2.001142954313e-09,0.8,2.001142954313e-09,0,2.001142954313e-09,-4.288631879504775e-07,2.001142954313e-09,0.8000000590111364,2.001142954313e-09,0.8,2.001142954313e-09,0,2.001142954313e-09,-3.811646692803933e-10
2.002260737941e-09,0.8,2.002260737941e-09,0,2.002260737941e-09,-3.326118464119459e-07,2.002260737941e-09,0.8000000439463684,2.002260737941e-09,0.8,2.002260737941e-09,0,2.002260737941e-09,3.91033809343127e-10
2.004496305197e-09,0.8,2.004496305197e-09,0,2.004496305197e-09,-2.118601919571414e-07,2.004496305197e-09,0.8000000487516244,2.004496305197e-09,0.8,2.004496305197e-09,0,2.004496305197e-09,-3.786831414205435e-10
2.008967439709e-09,0.8,2.008967439709e-09,0,2.008967439709e-09,-5.497172968225148e-08,2.008967439709e-09,0.7999999887239104,2.008967439709e-09,0.8,2.008967439709e-09,0,2.008967439709e-09,3.760552925066126e-10
2.017909708733e-09,0.8,2.017909708733e-09,0,2.017909708733e-09,3.849961328299567e-08,2.017909708733e-09,0.799999913582249,2.017909708733e-09,0.8,2.017909708733e-09,0,2.017909708733e-09,-3.882047843058872e-10
2.03579424678e-09,0.8,2.03579424678e-09,0,2.03579424678e-09,7.792891490047435e-08,2.03579424678e-09,0.7999998143723577,2.03579424678e-09,0.8,2.03579424678e-09,0,2.03579424678e-09,3.653314530921788e-10
2.071563322875e-09,0.8,2.071563322875e-09,0,2.071563322875e-09,7.70420265505284e-08,2.071563322875e-09,0.7999998093655538,2.071563322875e-09,0.8,2.071563322875e-09,0,2.071563322875e-09,-3.914038488742078e-10
2.143101475064e-09,0.8,2.143101475064e-09,0,2.143101475064e-09,8.159014050907045e-08,2.143101475064e-09,0.7999997998236894,2.143101475064e-09,0.8,2.143101475064e-09,0,2.143101475064e-09,3.643515071852813e-10
2.286177779443e-09,0.8,2.286177779443e-09,0,2.286177779443e-09,7.667894378100423e-08,2.286177779443e-09,0.799999811440038,2.286177779443e-09,0.8,2.286177779443e-09,0,2.286177779443e-09,-3.911058313609757e-10
2.572330388201e-09,0.8,2.572330388201e-09,0,2.572330388201e-09,8.169084392707106e-08,2.572330388201e-09,0.7999997991495612,2.572330388201e-09,0.8,2.572330388201e-09,0,2.572330388201e-09,3.642167552942014e-10
2.99e-09,0.8,2.99e-09,0,2.99e-09,7.664136730510673e-08,2.99e-09,0.7999998117388536,2.99e-09,0.8,2.99e-09,0,2.99e-09,-3.910329136072464e-10
2.990005214843e-09,0.8,2.990005214843e-09,0,2.990005214843e-09,1.404410021508185e-05,2.990005214843e-09,0.8000148222270672,2.990005214843e-09,0.8,2.990005214843e-09,0.0004171874999913255,2.990005214843e-09,6.04586325621458e-07
2.990015644531e-09,0.8,2.990015644531e-09,0,2.990015644531e-09,4.467590326883261e-05,2.990015644531e-09,0.8000480335454133,2.990015644531e-09,0.8,2.990015644531e-09,0.001251562499973977,2.990015644531e-09,9.540563839699694e-07
2.990036503906e-09,0.8,2.990036503906e-09,0,2.990036503906e-09,0.0001035896092135844,2.990036503906e-09,0.8001134722957202,2.990036503906e-09,0.8,2.990036503906e-09,0.002920312499939279,2.990036503906e-09,7.240310643148452e-07
2.990078222656e-09,0.8,2.990078222656e-09,0,2.990078222656e-09,0.0002195550284890443,2.990078222656e-09,0.8002425878177195,2.990078222656e-09,0.8,2.990078222656e-09,0.006257812499869883,2.990078222656e-09,9.000293499218353e-07
2.990161660156e-09,0.8,2.990161660156e-09,0,2.990161660156e-09,0.00045038901360604,2.990161660156e-09,0.800499816507574,2.990161660156e-09,0.8,2.990161660156e-09,0.01293281249973109,2.990161660156e-09,7.503417719639563e-07
2.990328535156e-09,0.8,2.990328535156e-09,0,2.990328535156e-09,0.0009003599002063215,2.990328535156e-09,0.801003891660245,2.990328535156e-09,0.8,2.990328535156e-09,0.02628281249945351,2.990328535156e-09,8.964814600982967e-07
2.990662285156e-09,0.8,2.990662285156e-09,0,2.990662285156e-09,0.001762405989150187,2.990662285156e-09,0.8019782142705311,2.990662285156e-09,0.8,2.990662285156e-09,0.05298281249889835,2.990662285156e-09,7.68555564314751e-07
2.991329785156e-09,0.8,2.991329785156e-09,0,2.991329785156e-09,0.00333712441168195,2.991329785156e-09,0.8037938642459953,2.991329785156e-09,0.8,2.991329785156e-09,0.106382812497788,2.991329785156e-09,9.199690102174163e-07
2.992664785156e-09,0.8,2.992664785156e-09,0,2.992664785156e-09,0.005978441116380444,2.992664785156e-09,0.8069650145741504,2.992664785156e-09,0.8,2.992664785156e-09,0.2131828124955674,2.992664785156e-09,8.215507757710325e-07
2.995334785156e-09,0.8,2.995334785156e-09,0,2.995334785156e-09,0.01022683180572857,2.995334785156e-09,0.8119062113587647,2.995334785156e-09,0.8,2.995334785156e-09,0.426782812491126,2.995334785156e-09,1.067462879404383e-06
2.997667392578e-09,0.8,2.997667392578e-09,0,2.997667392578e-09,0.01634510855569386,2.997667392578e-09,0.8136349063859564,2.997667392578e-09,0.8,2.997667392578e-09,0.613391406245563,2.997667392578e-09,1.015337028805472e-06
2.998833696289e-09,0.8,2.998833696289e-09,0,2.998833696289e-09,0.02212847219960559,2.998833696289e-09,0.8111813532697763,2.998833696289e-09,0.8,2.998833696289e-09,0.7066957031227981,2.998833696289e-09,6.367651980122831e-07
3e-09,0.8,3e-09,0,3e-09,0.03166140848290762,3e-09,0.8018038477660295,3e-09,0.8,3e-09,0.8,3e-09,-7.338878419656486e-07
3.000005214843e-09,0.8,3.000005214843e-09,0,3.000005214843e-09,0.03168147302626738,3.000005214843e-09,0.8017227201278654,3.000005214843e-09,0.8,3.000005214843e-09,0.8,3.000005214843e-09,-1.729207238343638e-06
3.000007822265e-09,0.8,3.000007822265e-09,0,3.000007822265e-09,0.03168941794559607,3.000007822265e-09,0.8016809602531118,3.000007822265e-09,0.8,3.000007822265e-09,0.8,3.000007822265e-09,-2.12399964596651e-06
3.000013037109e-09,0.8,3.000013037109e-09,0,3.000013037109e-09,0.031700789545636,3.000013037109e-09,0.8015947407216182,3.000013037109e-09,0.8,3.000013037109e-09,0.8,3.000013037109e-09,-2.344385508579315e-06
3.000015644531e-09,0.8,3.000015644531e-09,0,3.000015644531e-09,0.03170632176635824,3.000015644531e-09,0.8015514754438627,3.000015644531e-09,0.8,3.000015644531e-09,0.8,3.000015644531e-09,-2.324220471767061e-06
3.000020859375e-09,0.8,3.000020859375e-09,0,3.000020859375e-09,0.03171752301622609,3.000020859375e-09,0.8014650121064497,3.000020859375e-09,0.8,3.000020859375e-09,0.8,3.000020859375e-09,-2.336639794149777e-06
3.000031289062e-09,0.8,3.000031289062e-09,0,3.000031289062e-09,0.03174011889377477,3.000031289062e-09,0.8012923229682414,3.000031289062e-09,0.8,3.000031289062e-09,0.8,3.000031289062e-09,-2.33373640172547e-06
3.000052148437e-09,0.8,3.000052148437e-09,0,3.000052148437e-09,0.03178554610578043,3.000052148437e-09,0.800947545849376,3.000052148437e-09,0.8,3.000052148437e-09,0.8,3.000052148437e-09,-2.351479098941002e-06
3.000093867187e-09,0.8,3.000093867187e-09,0,3.000093867187e-09,0.031877254816854,3.000093867187e-09,0.8002602165691675,3.000093867187e-09,0.8,3.000093867187e-09,0.8,3.000093867187e-09,-2.369482540447044e-06
3.000177304687e-09,0.8,3.000177304687e-09,0,3.000177304687e-09,0.03207807612655076,3.000177304687e-09,0.7989733972663812,3.000177304687e-09,0.8,3.000177304687e-09,0.8,3.000177304687e-09,-2.934330791683178e-06
3.000344179687e-09,0.8,3.000344179687e-09,0,3.000344179687e-09,0.03248879612056337,3.000344179687e-09,0.7964526391387655,3.000344179687e-09,0.8,3.000344179687e-09,0.8,3.000344179687e-09,-2.588173852455503e-06
