leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) X,leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) Y,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) X,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) Y
1.199998414302058,0,0,1.199998414302058
1.19999731189819,0.024,0.024,1.19999731189819
1.199995297589073,0.048,0.048,1.199995297589073
1.199991629744981,0.07200000000000001,0.07200000000000001,1.199991629744981
1.199984989304125,0.096,0.096,1.199984989304125
1.199973039693878,0.12,0.12,1.199973039693878
1.199951698006454,0.144,0.144,1.199951698006454
1.199913946675946,0.168,0.168,1.199913946675946
1.199847967805542,0.192,0.192,1.199847967805542
1.199734342566879,0.216,0.216,1.199734342566879
1.199542048714366,0.24,0.24,1.199542048714366
1.19922299839169,0.264,0.264,1.19922299839169
1.19870479515295,0.288,0.288,1.19870479515295
1.197881067299762,0.312,0.312,1.197881067299762
1.196597949834878,0.336,0.336,1.196597949834878
1.194633930751599,0.36,0.36,1.194633930751599
1.191668192849609,0.3840000000000001,0.3840000000000001,1.191668192849609
1.187228805379011,0.4080000000000001,0.4080000000000001,1.187228805379011
1.180603038432892,0.4320000000000001,0.4320000000000001,1.180603038432892
1.170666034369024,0.4560000000000001,0.4560000000000001,1.170666034369024
1.155498597218146,0.4800000000000001,0.4800000000000001,1.155498597218146
1.13123486230892,0.5040000000000001,0.5040000000000001,1.13123486230892
1.087681710161786,0.5280000000000001,0.5280000000000001,1.087681710161786
0.9695531290620977,0.5520000000000002,0.5520000000000002,0.9695531290620977
0.6501783111880851,0.5760000000000002,0.5760000000000002,0.6501783111880851
0.3266479244797111,0.6000000000000002,0.6000000000000002,0.3266479244797111
0.1248656949473174,0.6240000000000002,0.6240000000000002,0.1248656949473174
0.0666123115377526,0.6480000000000002,0.6480000000000002,0.0666123115377526
0.04143679167112898,0.6720000000000003,0.6720000000000003,0.04143679167112898
0.02681704010684109,0.6960000000000003,0.6960000000000003,0.02681704010684109
0.0175834040601889,0.7200000000000003,0.7200000000000003,0.0175834040601889
0.01159216604506588,0.7440000000000003,0.7440000000000003,0.01159216604506588
0.007643035027532754,0.7680000000000003,0.7680000000000003,0.007643035027532754
0.005030905453017745,0.7920000000000004,0.7920000000000004,0.005030905453017745
0.003302040150062897,0.8160000000000004,0.8160000000000004,0.003302040150062897
0.00215800354497451,0.8400000000000004,0.8400000000000004,0.00215800354497451
0.001401421073010248,0.8640000000000004,0.8640000000000004,0.001401421073010248
0.0009018930989223093,0.8880000000000005,0.8880000000000005,0.0009018930989223093
0.0005733626552329397,0.9120000000000005,0.9120000000000005,0.0005733626552329397
0.0003588970867729742,0.9360000000000005,0.9360000000000005,0.0003588970867729742
0.0002205632203995155,0.9600000000000005,0.9600000000000005,0.0002205632203995155
0.0001328283986877948,0.9840000000000005,0.9840000000000005,0.0001328283986877948
7.83527822667478e-05,1.008,1.008,7.83527822667478e-05
4.533845652099357e-05,1.032,1.032,4.533845652099357e-05
2.583424955068146e-05,1.056,1.056,2.583424955068146e-05
1.459531625053659e-05,1.080000000000001,1.080000000000001,1.459531625053659e-05
8.265516020100467e-06,1.104000000000001,1.104000000000001,8.265516020100467e-06
4.770417969875148e-06,1.128000000000001,1.128000000000001,4.770417969875148e-06
2.871491099799972e-06,1.152000000000001,1.152000000000001,2.871491099799972e-06
1.852383914226792e-06,1.176000000000001,1.176000000000001,1.852383914226792e-06
1.309893945503219e-06,1.2,1.2,1.309893945503219e-06
