leafValue( VS("/QB") "WPU" 1.2e-07 ) vs leafValue( VS("/Q") "WPU" 1.2e-07 ) X,leafValue( VS("/QB") "WPU" 1.2e-07 ) vs leafValue( VS("/Q") "WPU" 1.2e-07 ) Y,leafValue( VS("/Q") "WPU" 1.2e-07 ) vs leafValue( VS("/QB") "WPU" 1.2e-07 ) X,leafValue( VS("/Q") "WPU" 1.2e-07 ) vs leafValue( VS("/QB") "WPU" 1.2e-07 ) Y
0.9999998753914923,0,0,0.9999998753914923
0.9999998521667596,0.02,0.02,0.9999998521667596
0.9999998086963585,0.04,0.04,0.9999998086963585
0.9999997271600055,0.06,0.06,0.9999997271600055
0.9999995740993016,0.08,0.08,0.9999995740993016
0.9999992861423097,0.1,0.1,0.9999992861423097
0.9999987430096952,0.12,0.12,0.9999987430096952
0.9999977159427089,0.14,0.14,0.9999977159427089
0.9999957710453438,0.16,0.16,0.9999957710453438
0.999992085398838,0.18,0.18,0.999992085398838
0.9999850960748192,0.2,0.2,0.9999850960748192
0.9999718415160083,0.22,0.22,0.9999718415160083
0.9999467274383184,0.24,0.24,0.9999467274383184
0.9998992352346783,0.26,0.26,0.9998992352346783
0.9998097044526726,0.28,0.28,0.9998097044526726
0.9996416244557905,0.3,0.3,0.9996416244557905
0.9993275522592234,0.32,0.32,0.9993275522592234
0.9987430554620327,0.34,0.34,0.9987430554620327
0.9976568007324141,0.36,0.36,0.9976568007324141
0.9956283191885562,0.3800000000000001,0.3800000000000001,0.9956283191885562
0.9917727991146624,0.4000000000000001,0.4000000000000001,0.9917727991146624
0.984057664143468,0.4200000000000001,0.4200000000000001,0.984057664143468
0.9664664968394653,0.4400000000000001,0.4400000000000001,0.9664664968394653
0.8956027781637508,0.4600000000000001,0.4600000000000001,0.8956027781637508
0.5819311227519059,0.4800000000000001,0.4800000000000001,0.5819311227519059
0.2418719593490727,0.5000000000000001,0.5000000000000001,0.2418719593490727
0.05161278852386079,0.5200000000000001,0.5200000000000001,0.05161278852386079
0.02068739033813461,0.5400000000000001,0.5400000000000001,0.02068739033813461
0.0103870501482196,0.5600000000000002,0.5600000000000002,0.0103870501482196
0.005522825419700075,0.5800000000000002,0.5800000000000002,0.005522825419700075
0.003005862602665154,0.6000000000000002,0.6000000000000002,0.003005862602665154
0.001650172889763846,0.6200000000000002,0.6200000000000002,0.001650172889763846
0.0009081791197682707,0.6400000000000002,0.6400000000000002,0.0009081791197682707
0.0004976133064623594,0.6600000000000003,0.6600000000000003,0.0004976133064623594
0.0002703546556475448,0.6800000000000003,0.6800000000000003,0.0002703546556475448
0.0001452237594125301,0.7000000000000003,0.7000000000000003,0.0001452237594125301
7.700142365626489e-05,0.7200000000000003,0.7200000000000003,7.700142365626489e-05
4.029046333148305e-05,0.7400000000000003,0.7400000000000003,4.029046333148305e-05
2.08256290341526e-05,0.7600000000000003,0.7600000000000003,2.08256290341526e-05
1.065702875673011e-05,0.7800000000000004,0.7800000000000004,1.065702875673011e-05
5.416649909960548e-06,0.8000000000000004,0.8000000000000004,5.416649909960548e-06
2.746975507536773e-06,0.8200000000000004,0.8200000000000004,2.746975507536773e-06
1.399192509901393e-06,0.8400000000000004,0.8400000000000004,1.399192509901393e-06
7.232009679504467e-07,0.8600000000000004,0.8600000000000004,7.232009679504467e-07
3.855566233779309e-07,0.8800000000000004,0.8800000000000004,3.855566233779309e-07
2.172351119772376e-07,0.9000000000000005,0.9000000000000005,2.172351119772376e-07
1.33309278339094e-07,0.9200000000000005,0.9200000000000005,1.33309278339094e-07
9.137452250403768e-08,0.9400000000000005,0.9400000000000005,9.137452250403768e-08
7.036382356463916e-08,0.9600000000000005,0.9600000000000005,7.036382356463916e-08
5.977889659024041e-08,0.9800000000000005,0.9800000000000005,5.977889659024041e-08
5.440997033706338e-08,1,1,5.440997033706338e-08
