leafValue( VS("/QB") "modelFiles" "gpdk045.scs:tt" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:tt" ) X,leafValue( VS("/QB") "modelFiles" "gpdk045.scs:tt" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:tt" ) Y,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:tt" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:tt" ) X,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:tt" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:tt" ) Y
0.9999998267334237,0,0,0.9999998267334237
0.9999997975517916,0.02,0.02,0.9999997975517916
0.9999997422318684,0.04,0.04,0.9999997422318684
0.9999996370833987,0.06,0.06,0.9999996370833987
0.9999994366094977,0.08,0.08,0.9999994366094977
0.9999990523976054,0.1,0.1,0.9999990523976054
0.9999983115689343,0.12,0.12,0.9999983115689343
0.9999968737769058,0.14,0.14,0.9999968737769058
0.99999406684437,0.16,0.16,0.99999406684437
0.999988554918309,0.18,0.18,0.999988554918309
0.9999776610925604,0.2,0.2,0.9999776610925604
0.9999559903219226,0.22,0.22,0.9999559903219226
0.9999126109103691,0.24,0.24,0.9999126109103691
0.9998252820412181,0.26,0.26,0.9998252820412181
0.9996486377397019,0.28,0.28,0.9996486377397019
0.9992899887905388,0.3,0.3,0.9992899887905388
0.9985593292245405,0.32,0.32,0.9985593292245405
0.9970625263016815,0.34,0.34,0.9970625263016815
0.9939518381139398,0.36,0.36,0.9939518381139398
0.9871686377329313,0.3800000000000001,0.3800000000000001,0.9871686377329313
0.970233318061771,0.4000000000000001,0.4000000000000001,0.970233318061771
0.8898290218450471,0.4200000000000001,0.4200000000000001,0.8898290218450471
0.5984169646603096,0.4400000000000001,0.4400000000000001,0.5984169646603096
0.5069737626005046,0.4600000000000001,0.4600000000000001,0.5069737626005046
0.4692831419524844,0.4800000000000001,0.4800000000000001,0.4692831419524844
0.4435325851549537,0.5000000000000001,0.5000000000000001,0.4435325851549537
0.422456487470893,0.5200000000000001,0.5200000000000001,0.422456487470893
0.4036118088809421,0.5400000000000001,0.5400000000000001,0.4036118088809421
0.3858475384300253,0.5600000000000002,0.5600000000000002,0.3858475384300253
0.3686397184906487,0.5800000000000002,0.5800000000000002,0.3686397184906487
0.351723559334154,0.6000000000000002,0.6000000000000002,0.351723559334154
0.3349741334225015,0.6200000000000002,0.6200000000000002,0.3349741334225015
0.3183467413661361,0.6400000000000002,0.6400000000000002,0.3183467413661361
0.301845157210882,0.6600000000000003,0.6600000000000003,0.301845157210882
0.2855036639110414,0.6800000000000003,0.6800000000000003,0.2855036639110414
0.2693765948577437,0.7000000000000003,0.7000000000000003,0.2693765948577437
0.2535328414215506,0.7200000000000003,0.7200000000000003,0.2535328414215506
0.2380551861322843,0.7400000000000003,0.7400000000000003,0.2380551861322843
0.2230467835772652,0.7600000000000003,0.7600000000000003,0.2230467835772652
0.2086494540965211,0.7800000000000004,0.7800000000000004,0.2086494540965211
0.1950716105230353,0.8000000000000004,0.8000000000000004,0.1950716105230353
0.1825827166231556,0.8200000000000004,0.8200000000000004,0.1825827166231556
0.1714053149912748,0.8400000000000004,0.8400000000000004,0.1714053149912748
0.1615893011028154,0.8600000000000004,0.8600000000000004,0.1615893011028154
0.1530281994289991,0.8800000000000004,0.8800000000000004,0.1530281994289991
0.145554081485414,0.9000000000000005,0.9000000000000005,0.145554081485414
0.1389998327720713,0.9200000000000005,0.9200000000000005,0.1389998327720713
0.1332204058195938,0.9400000000000005,0.9400000000000005,0.1332204058195938
0.128095526453575,0.9600000000000005,0.9600000000000005,0.128095526453575
0.1235267525589349,0.9800000000000005,0.9800000000000005,0.1235267525589349
0.1194335494277039,1,1,0.1194335494277039
