/BL (modelFiles=gpdk045.scs:ff) X,/BL (modelFiles=gpdk045.scs:ff) Y,/BLB (modelFiles=gpdk045.scs:ff) X,/BLB (modelFiles=gpdk045.scs:ff) Y,/Q (modelFiles=gpdk045.scs:ff) X,/Q (modelFiles=gpdk045.scs:ff) Y,/QB (modelFiles=gpdk045.scs:ff) X,/QB (modelFiles=gpdk045.scs:ff) Y,/VDD (modelFiles=gpdk045.scs:ff) X,/VDD (modelFiles=gpdk045.scs:ff) Y,/WL (modelFiles=gpdk045.scs:ff) X,/WL (modelFiles=gpdk045.scs:ff) Y,/V0/PLUS (modelFiles=gpdk045.scs:ff) X,/V0/PLUS (modelFiles=gpdk045.scs:ff) Y
0,0,0,1.2,0,1.895308716632564e-07,0,1.199998356860048,0,1.2,0,0,0,-2.837400495597887e-10
3e-11,0,3e-11,1.2,3e-11,1.895308733795843e-07,3e-11,1.199998356860141,3e-11,1.2,3e-11,0,3e-11,-2.837399679998517e-10
8.999999999999999e-11,0,8.999999999999999e-11,1.2,8.999999999999999e-11,1.895308718628434e-07,8.999999999999999e-11,1.199998356860152,8.999999999999999e-11,1.2,8.999999999999999e-11,0,8.999999999999999e-11,-2.837399668709831e-10
2.1e-10,0,2.1e-10,1.2,2.1e-10,1.895308708522279e-07,2.1e-10,1.19999835686008,2.1e-10,1.2,2.1e-10,0,2.1e-10,-2.837399783479673e-10
4.499999999999999e-10,0,4.499999999999999e-10,1.2,4.499999999999999e-10,1.895308721202156e-07,4.499999999999999e-10,1.199998356859998,4.499999999999999e-10,1.2,4.499999999999999e-10,0,4.499999999999999e-10,-2.837399903578114e-10
9.299999999999999e-10,0,9.299999999999999e-10,1.2,9.299999999999999e-10,1.895308714609667e-07,9.299999999999999e-10,1.199998356860099,9.299999999999999e-10,1.2,9.299999999999999e-10,0,9.299999999999999e-10,-2.837399751604624e-10
1.53e-09,0,1.53e-09,1.2,1.53e-09,1.895308716523613e-07,1.53e-09,1.199998356859978,1.53e-09,1.2,1.53e-09,0,1.53e-09,-2.837399936558215e-10
1.99e-09,0,1.99e-09,1.2,1.99e-09,1.895308716854459e-07,1.99e-09,1.199998356859993,1.99e-09,1.2,1.99e-09,0,1.99e-09,-2.837399913829956e-10
1.990083402777e-09,0.01000833333331958,1.990083402777e-09,1.18999166666668,1.990083402777e-09,1.976268740418925e-06,1.990083402777e-09,1.199997594543809,1.990083402777e-09,1.2,1.990083402777e-09,0,1.990083402777e-09,-2.535494383767883e-10
1.990250208333e-09,0.03002499999995875,1.990250208333e-09,1.169975000000041,1.990250208333e-09,2.600034637959926e-06,1.990250208333e-09,1.199997814526343,1.990250208333e-09,1.2,1.990250208333e-09,0,1.990250208333e-09,6.649082996447456e-10
