/BL (modelFiles=gpdk045.scs:ss) X,/BL (modelFiles=gpdk045.scs:ss) Y,/BLB (modelFiles=gpdk045.scs:ss) X,/BLB (modelFiles=gpdk045.scs:ss) Y,/Q (modelFiles=gpdk045.scs:ss) X,/Q (modelFiles=gpdk045.scs:ss) Y,/QB (modelFiles=gpdk045.scs:ss) X,/QB (modelFiles=gpdk045.scs:ss) Y,/VDD (modelFiles=gpdk045.scs:ss) X,/VDD (modelFiles=gpdk045.scs:ss) Y,/WL (modelFiles=gpdk045.scs:ss) X,/WL (modelFiles=gpdk045.scs:ss) Y,/V0/PLUS (modelFiles=gpdk045.scs:ss) X,/V0/PLUS (modelFiles=gpdk045.scs:ss) Y
0,0,0,1,0,5.437110571221161e-08,0,0.9999998456222348,0,1,0,0,0,-1.892779986158059e-11
3e-11,0,3e-11,1,3e-11,5.437110880825588e-08,3e-11,0.9999998456223578,3e-11,1,3e-11,0,3e-11,-1.892773242987694e-11
8.999999999999999e-11,0,8.999999999999999e-11,1,8.999999999999999e-11,5.437110615823624e-08,8.999999999999999e-11,0.9999998456223806,8.999999999999999e-11,1,8.999999999999999e-11,0,8.999999999999999e-11,-1.892773104440991e-11
2.1e-10,0,2.1e-10,1,2.1e-10,5.437110602803165e-08,2.1e-10,0.999999845622439,2.1e-10,1,2.1e-10,0,2.1e-10,-1.892772569452311e-11
4.499999999999999e-10,0,4.499999999999999e-10,1,4.499999999999999e-10,5.437110475009343e-08,4.499999999999999e-10,0.9999998456223498,4.499999999999999e-10,1,4.499999999999999e-10,0,4.499999999999999e-10,-1.892773415300204e-11
9.299999999999999e-10,0,9.299999999999999e-10,1,9.299999999999999e-10,5.43711062946764e-08,9.299999999999999e-10,0.9999998456222545,9.299999999999999e-10,1,9.299999999999999e-10,0,9.299999999999999e-10,-1.892774239008146e-11
1.53e-09,0,1.53e-09,1,1.53e-09,5.437110582795983e-08,1.53e-09,0.9999998456225314,1.53e-09,1,1.53e-09,0,1.53e-09,-1.892771742439307e-11
1.99e-09,0,1.99e-09,1,1.99e-09,5.437110471400262e-08,1.99e-09,0.9999998456222934,1.99e-09,1,1.99e-09,0,1.99e-09,-1.892773921585368e-11
1.990083416666e-09,0.008341666666664842,1.990083416666e-09,0.9916583333333352,1.990083416666e-09,3.29663799077107e-07,1.990083416666e-09,0.9999991978405854,1.990083416666e-09,1,1.990083416666e-09,0,1.990083416666e-09,-1.162772763773922e-09
1.99025025e-09,0.02502499999999453,1.99025025e-09,0.9749750000000055,1.99025025e-09,1.047369761178097e-07,1.99025025e-09,0.9999991464543301,1.99025025e-09,1,1.99025025e-09,0,1.99025025e-09,5.959305454993605e-10
1.990583916666e-09,0.05839166666665389,1.990583916666e-09,0.9416083333333461,1.990583916666e-09,-5.835388425964714e-08,1.990583916666e-09,0.9999991476504368,1.990583916666e-09,1,1.990583916666e-09,0,1.990583916666e-09,-8.514654389209378e-10
1.991142573879e-09,0.1142573879305341,1.991142573879e-09,0.8857426120694658,1.991142573879e-09,-1.098001783143665e-07,1.991142573879e-09,0.9999991875541578,1.991142573879e-09,1,1.991142573879e-09,0,1.991142573879e-09,6.860001559079021e-10
1.992259888304e-09,0.2259888304582946,1.992259888304e-09,0.7740111695417053,1.992259888304e-09,-1.299176815407047e-07,1.992259888304e-09,0.9999992966086456,1.992259888304e-09,1,1.992259888304e-09,0,1.992259888304e-09,-7.943941706685827e-10
1.994494517155e-09,0.4494517155138156,1.994494517155e-09,0.5505482844861844,1.994494517155e-09,-6.510190753016729e-08,1.994494517155e-09,0.9999994310789735,1.994494517155e-09,1,1.994494517155e-09,0,1.994494517155e-09,7.142395460116809e-10
1.997247258577e-09,0.7247258577569078,1.997247258577e-09,0.2752741422430922,1.997247258577e-09,-1.817433629976206e-09,1.997247258577e-09,0.9999995912896181,1.997247258577e-09,1,1.997247258577e-09,0,1.997247258577e-09,-7.848333018917024e-10
2e-09,1,2e-09,0,2e-09,5.449693655700512e-08,2e-09,0.9999996715472743,2e-09,1,2e-09,0,2e-09,7.196340307944535e-10
2.000083416666e-09,1,2.000083416666e-09,0,2.000083416666e-09,-5.144416335016091e-07,2.000083416666e-09,1.000000286524838,2.000083416666e-09,1,2.000083416666e-09,0,2.000083416666e-09,6.128675612157614e-10
2.00025025e-09,1,2.00025025e-09,0,2.00025025e-09,-4.873679244177309e-07,2.00025025e-09,1.000000298464231,2.00025025e-09,1,2.00025025e-09,0,2.00025025e-09,-4.910130478182697e-10
2.000583916666e-09,1,2.000583916666e-09,0,2.000583916666e-09,-4.192634567646946e-07,2.000583916666e-09,1.000000276788582,2.000583916666e-09,1,2.000583916666e-09,0,2.000583916666e-09,5.373529096636713e-10
2.001143362465e-09,1,2.001143362465e-09,0,2.001143362465e-09,-3.383073762898961e-07,2.001143362465e-09,1.000000278795946,2.001143362465e-09,1,2.001143362465e-09,0,2.001143362465e-09,-4.615284830886664e-10
2.002262254064e-09,1,2.002262254064e-09,0,2.002262254064e-09,-2.06250417981904e-07,2.002262254064e-09,1.000000220692137,2.002262254064e-09,1,2.002262254064e-09,0,2.002262254064e-09,4.997858813816229e-10
2.004500037261e-09,1,2.004500037261e-09,0,2.004500037261e-09,-7.569878617350631e-08,2.004500037261e-09,1.000000142183815,2.004500037261e-09,1,2.004500037261e-09,0,2.004500037261e-09,-4.739839526021301e-10
2.008975603656e-09,1,2.008975603656e-09,0,2.008975603656e-09,2.671603220401668e-08,2.008975603656e-09,0.9999999732295431,2.008975603656e-09,1,2.008975603656e-09,0,2.008975603656e-09,4.663804212801938e-10
2.017926736444e-09,1,2.017926736444e-09,0,2.017926736444e-09,5.826275028043765e-08,2.017926736444e-09,0.9999998590436278,2.017926736444e-09,1,2.017926736444e-09,0,2.017926736444e-09,-4.946701993550891e-10
2.035829002022e-09,1,2.035829002022e-09,0,2.035829002022e-09,6.797544954284839e-08,2.035829002022e-09,0.9999998062725152,2.035829002022e-09,1,2.035829002022e-09,0,2.035829002022e-09,4.530769464087683e-10
2.071633533176e-09,1,2.071633533176e-09,0,2.071633533176e-09,6.508191369326084e-08,2.071633533176e-09,0.999999829314555,2.071633533176e-09,1,2.071633533176e-09,0,2.071633533176e-09,-4.955753417072833e-10
2.143242595485e-09,1,2.143242595485e-09,0,2.143242595485e-09,6.732659409182492e-08,2.143242595485e-09,0.999999809447225,2.143242595485e-09,1,2.143242595485e-09,0,2.143242595485e-09,4.52761461963981e-10
2.286460720104e-09,1,2.286460720104e-09,0,2.286460720104e-09,6.526111197420951e-08,2.286460720104e-09,0.9999998283839477,2.286460720104e-09,1,2.286460720104e-09,0,2.286460720104e-09,-4.953734526602668e-10
2.572896969341e-09,1,2.572896969341e-09,0,2.572896969341e-09,6.726336424726024e-08,2.572896969341e-09,0.999999809801553,2.572896969341e-09,1,2.572896969341e-09,0,2.572896969341e-09,4.526540242592573e-10
