/BL (modelFiles=gpdk045.scs:tt) X,/BL (modelFiles=gpdk045.scs:tt) Y,/BLB (modelFiles=gpdk045.scs:tt) X,/BLB (modelFiles=gpdk045.scs:tt) Y,/Q (modelFiles=gpdk045.scs:tt) X,/Q (modelFiles=gpdk045.scs:tt) Y,/QB (modelFiles=gpdk045.scs:tt) X,/QB (modelFiles=gpdk045.scs:tt) Y,/VDD (modelFiles=gpdk045.scs:tt) X,/VDD (modelFiles=gpdk045.scs:tt) Y,/WL (modelFiles=gpdk045.scs:tt) X,/WL (modelFiles=gpdk045.scs:tt) Y,/V0/PLUS (modelFiles=gpdk045.scs:tt) X,/V0/PLUS (modelFiles=gpdk045.scs:tt) Y
0,0,0,1,0,5.592762797646546e-08,0,0.9999998224742841,0,1,0,0,0,-2.666103777123346e-11
3e-11,0,3e-11,1,3e-11,5.592762979374357e-08,3e-11,0.999999822474387,3e-11,1,3e-11,0,3e-11,-2.666097011277539e-11
8.999999999999999e-11,0,8.999999999999999e-11,1,8.999999999999999e-11,5.592762815048211e-08,8.999999999999999e-11,0.9999998224744031,8.999999999999999e-11,1,8.999999999999999e-11,0,8.999999999999999e-11,-2.666096890754735e-11
2.1e-10,0,2.1e-10,1,2.1e-10,5.592762731715466e-08,2.1e-10,0.9999998224743608,2.1e-10,1,2.1e-10,0,2.1e-10,-2.66609738675137e-11
4.499999999999999e-10,0,4.499999999999999e-10,1,4.499999999999999e-10,5.592762935684268e-08,4.499999999999999e-10,0.9999998224745309,4.499999999999999e-10,1,4.499999999999999e-10,0,4.499999999999999e-10,-2.666095421304316e-11
9.299999999999999e-10,0,9.299999999999999e-10,1,9.299999999999999e-10,5.592762598045106e-08,9.299999999999999e-10,0.9999998224742772,9.299999999999999e-10,1,9.299999999999999e-10,0,9.299999999999999e-10,-2.66609836832491e-11
1.53e-09,0,1.53e-09,1,1.53e-09,5.592763037915061e-08,1.53e-09,0.9999998224745743,1.53e-09,1,1.53e-09,0,1.53e-09,-2.666094897271139e-11
1.99e-09,0,1.99e-09,1,1.99e-09,5.592762428805993e-08,1.99e-09,0.9999998224740796,1.99e-09,1,1.99e-09,0,1.99e-09,-2.666100638326993e-11
1.990083416666e-09,0.008341666666664842,1.990083416666e-09,0.9916583333333352,1.990083416666e-09,4.119977453259932e-07,1.990083416666e-09,0.9999991687548354,1.990083416666e-09,1,1.990083416666e-09,0,1.990083416666e-09,-1.13782911585839e-09
1.99025025e-09,0.02502499999999453,1.99025025e-09,0.9749750000000055,1.99025025e-09,2.14922807944996e-07,1.99025025e-09,0.9999991275649888,1.99025025e-09,1,1.99025025e-09,0,1.99025025e-09,5.643603165984208e-10
1.990583916666e-09,0.05839166666665389,1.990583916666e-09,0.9416083333333461,1.990583916666e-09,7.344925063934033e-08,1.990583916666e-09,0.999999142332587,1.990583916666e-09,1,1.990583916666e-09,0,1.990583916666e-09,-8.40256715135369e-10
1.991150845519e-09,0.1150845519869845,1.991150845519e-09,0.8849154480130155,1.991150845519e-09,2.38224447234468e-08,1.991150845519e-09,0.9999991955106615,1.991150845519e-09,1,1.991150845519e-09,0,1.991150845519e-09,6.446443911994494e-10
1.992284703226e-09,0.2284703226276456,1.992284703226e-09,0.7715296773723543,1.992284703226e-09,-1.793139172624617e-08,1.992284703226e-09,0.9999993112062131,1.992284703226e-09,1,1.992284703226e-09,0,1.992284703226e-09,-7.866117236531098e-10
