/BL (modelFiles=gpdk045.scs:ss) X,/BL (modelFiles=gpdk045.scs:ss) Y,/BLB (modelFiles=gpdk045.scs:ss) X,/BLB (modelFiles=gpdk045.scs:ss) Y,/Q (modelFiles=gpdk045.scs:ss) X,/Q (modelFiles=gpdk045.scs:ss) Y,/QB (modelFiles=gpdk045.scs:ss) X,/QB (modelFiles=gpdk045.scs:ss) Y,/VDD (modelFiles=gpdk045.scs:ss) X,/VDD (modelFiles=gpdk045.scs:ss) Y,/WL (modelFiles=gpdk045.scs:ss) X,/WL (modelFiles=gpdk045.scs:ss) Y,/V0/PLUS (modelFiles=gpdk045.scs:ss) X,/V0/PLUS (modelFiles=gpdk045.scs:ss) Y
0,0,0,0.8,0,5.76200669703211e-08,0,0.7999998452657394,0,0.8,0,0,0,-1.135613662768454e-11
3e-11,0,3e-11,0.8,3e-11,5.76200740243519e-08,3e-11,0.7999998452658916,3e-11,0.8,3e-11,0,3e-11,-1.13560832858998e-11
8.999999999999999e-11,0,8.999999999999999e-11,0.8,8.999999999999999e-11,5.76200688445009e-08,8.999999999999999e-11,0.7999998452659384,8.999999999999999e-11,0.8,8.999999999999999e-11,0,8.999999999999999e-11,-1.135608176274425e-11
2.1e-10,0,2.1e-10,0.8,2.1e-10,5.762006891426841e-08,2.1e-10,0.7999998452660761,2.1e-10,0.8,2.1e-10,0,2.1e-10,-1.135607445405715e-11
4.499999999999999e-10,0,4.499999999999999e-10,0.8,4.499999999999999e-10,5.762006447599862e-08,4.499999999999999e-10,0.799999845266023,4.499999999999999e-10,0.8,4.499999999999999e-10,0,4.499999999999999e-10,-1.135607793020598e-11
9.299999999999999e-10,0,9.299999999999999e-10,0.8,9.299999999999999e-10,5.762006797447749e-08,9.299999999999999e-10,0.7999998452658379,9.299999999999999e-10,0.8,9.299999999999999e-10,0,9.299999999999999e-10,-1.135608686645304e-11
1.53e-09,0,1.53e-09,0.8,1.53e-09,5.762006904236618e-08,1.53e-09,0.7999998452663915,1.53e-09,0.8,1.53e-09,0,1.53e-09,-1.135605830511888e-11
1.99e-09,0,1.99e-09,0.8,1.99e-09,5.762005882528571e-08,1.99e-09,0.799999845265536,1.99e-09,0.8,1.99e-09,0,1.99e-09,-1.135610363078264e-11
1.990083437499e-09,0.006674999999993557,1.990083437499e-09,0.7933250000000065,1.990083437499e-09,2.69770044717359e-07,1.990083437499e-09,0.7999993272999415,1.990083437499e-09,0.8,1.990083437499e-09,0,1.990083437499e-09,-9.760368824178957e-10
1.990250312499e-09,0.02002499999998067,1.990250312499e-09,0.7799750000000194,1.990250312499e-09,5.501729733359499e-08,1.990250312499e-09,0.7999992696297956,1.990250312499e-09,0.8,1.990250312499e-09,0,1.990250312499e-09,4.244953283343093e-10
1.990584062499e-09,0.0467249999999549,1.990584062499e-09,0.7532750000000451,1.990584062499e-09,-1.274359719045861e-07,1.990584062499e-09,0.7999992469530972,1.990584062499e-09,0.8,1.990584062499e-09,0,1.990584062499e-09,-6.560233935217951e-10
1.991143171034e-09,0.09145368273434815,1.991143171034e-09,0.7085463172656519,1.991143171034e-09,-1.991986647623346e-07,1.991143171034e-09,0.7999992492628135,1.991143171034e-09,0.8,1.991143171034e-09,0,1.991143171034e-09,5.32104264039095e-10
1.992261388102e-09,0.1809110482031347,1.992261388102e-09,0.6190889517968654,1.992261388102e-09,-2.361655615799409e-07,1.992261388102e-09,0.7999993048037507,1.992261388102e-09,0.8,1.992261388102e-09,0,1.992261388102e-09,-5.94972446194329e-10
1.994497822239e-09,0.3598257791407076,1.994497822239e-09,0.4401742208592924,1.994497822239e-09,-2.150896490047675e-07,1.994497822239e-09,0.7999993530850562,1.994497822239e-09,0.8,1.994497822239e-09,0,1.994497822239e-09,5.496862174286434e-10
