/BL (modelFiles=gpdk045.scs:ss) X,/BL (modelFiles=gpdk045.scs:ss) Y,/BLB (modelFiles=gpdk045.scs:ss) X,/BLB (modelFiles=gpdk045.scs:ss) Y,/Q (modelFiles=gpdk045.scs:ss) X,/Q (modelFiles=gpdk045.scs:ss) Y,/QB (modelFiles=gpdk045.scs:ss) X,/QB (modelFiles=gpdk045.scs:ss) Y,/VDD (modelFiles=gpdk045.scs:ss) X,/VDD (modelFiles=gpdk045.scs:ss) Y,/WL (modelFiles=gpdk045.scs:ss) X,/WL (modelFiles=gpdk045.scs:ss) Y,/V0/PLUS (modelFiles=gpdk045.scs:ss) X,/V0/PLUS (modelFiles=gpdk045.scs:ss) Y
0,0,0,1,0,4.364410223527047e-08,0,0.9999998688782993,0,1,0,0,0,-1.675214696354e-11
3e-11,0,3e-11,1,3e-11,4.364410533176318e-08,3e-11,0.9999998688784176,3e-11,1,3e-11,0,3e-11,-1.675207949474515e-11
8.999999999999999e-11,0,8.999999999999999e-11,1,8.999999999999999e-11,4.364410271688066e-08,8.999999999999999e-11,0.9999998688784403,8.999999999999999e-11,1,8.999999999999999e-11,0,8.999999999999999e-11,-1.675207814764458e-11
2.1e-10,0,2.1e-10,1,2.1e-10,4.364410082339883e-08,2.1e-10,0.9999998688783646,2.1e-10,1,2.1e-10,0,2.1e-10,-1.675208568904413e-11
4.499999999999999e-10,0,4.499999999999999e-10,1,4.499999999999999e-10,4.364410475888222e-08,4.499999999999999e-10,0.9999998688785297,4.499999999999999e-10,1,4.499999999999999e-10,0,4.499999999999999e-10,-1.675206918801428e-11
9.299999999999999e-10,0,9.299999999999999e-10,1,9.299999999999999e-10,4.364409926230994e-08,9.299999999999999e-10,0.9999998688783759,9.299999999999999e-10,1,9.299999999999999e-10,0,9.299999999999999e-10,-1.675208505731365e-11
1.53e-09,0,1.53e-09,1,1.53e-09,4.364410501442454e-08,1.53e-09,0.9999998688783294,1.53e-09,1,1.53e-09,0,1.53e-09,-1.67520878835191e-11
1.99e-09,0,1.99e-09,1,1.99e-09,4.364410099664056e-08,1.99e-09,0.9999998688787134,1.99e-09,1,1.99e-09,0,1.99e-09,-1.675205299603551e-11
1.990083416666e-09,0.008341666666664842,1.990083416666e-09,0.9916583333333352,1.990083416666e-09,3.121649451559241e-07,1.990083416666e-09,0.9999992635326882,1.990083416666e-09,1,1.990083416666e-09,0,1.990083416666e-09,-1.235328113839585e-09
1.99025025e-09,0.02502499999999453,1.99025025e-09,0.9749750000000055,1.99025025e-09,9.783149753430844e-08,1.99025025e-09,0.9999992180123853,1.99025025e-09,1,1.99025025e-09,0,1.99025025e-09,6.095840914506801e-10
1.990583916666e-09,0.05839166666665389,1.990583916666e-09,0.9416083333333461,1.990583916666e-09,-5.958582003739147e-08,1.990583916666e-09,0.9999992160002287,1.990583916666e-09,1,1.990583916666e-09,0,1.990583916666e-09,-8.736332130272525e-10
