leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) X,leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) Y,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) X,leafValue( VS("/Q") "modelFiles" "gpdk045.scs:ff" ) vs leafValue( VS("/QB") "modelFiles" "gpdk045.scs:ff" ) Y
1.199998423863554,0,0,1.199998423863554
1.199997321642955,0.024,0.024,1.199997321642955
1.199995307529951,0.048,0.048,1.199995307529951
1.199991639896244,0.07200000000000001,0.07200000000000001,1.199991639896244
1.199984999681684,0.096,0.096,1.199984999681684
1.199973050315524,0.12,0.12,1.199973050315524
1.199951708892131,0.144,0.144,1.199951708892131
1.199913957848069,0.168,0.168,1.199913957848069
1.199847979289349,0.192,0.192,1.199847979289349
1.199734354390825,0.216,0.216,1.199734354390825
1.199542060910572,0.24,0.24,1.199542060910572
1.199223010996495,0.264,0.264,1.199223010996495
1.198704808207624,0.288,0.288,1.198704808207624
1.197881080851577,0.312,0.312,1.197881080851577
1.196597963938848,0.336,0.336,1.196597963938848
1.19463394547355,0.36,0.36,1.19463394547355
1.191668208271965,0.3840000000000001,0.3840000000000001,1.191668208271965
1.187228821612424,0.4080000000000001,0.4080000000000001,1.187228821612424
1.180603055641294,0.4320000000000001,0.4320000000000001,1.180603055641294
1.170666052828453,0.4560000000000001,0.4560000000000001,1.170666052828453
1.155498617474299,0.4800000000000001,0.4800000000000001,1.155498617474299
1.131234885758751,0.5040000000000001,0.5040000000000001,1.131234885758751
1.087681742619401,0.5280000000000001,0.5280000000000001,1.087681742619401
0.9695534674722921,0.5520000000000002,0.5520000000000002,0.9695534674722921
0.6539134291363173,0.5760000000000002,0.5760000000000002,0.6539134291363173
0.460091616357687,0.6000000000000002,0.6000000000000002,0.460091616357687
0.3891531053593805,0.6240000000000002,0.6240000000000002,0.3891531053593805
0.3448904476829578,0.6480000000000002,0.6480000000000002,0.3448904476829578
0.3110698139580653,0.6720000000000003,0.6720000000000003,0.3110698139580653
0.2830129953668542,0.6960000000000003,0.6960000000000003,0.2830129953668542
0.258839451800997,0.7200000000000003,0.7200000000000003,0.258839451800997
0.2376670742234054,0.7440000000000003,0.7440000000000003,0.2376670742234054
0.2192055157885978,0.7680000000000003,0.7680000000000003,0.2192055157885978
0.203400042783964,0.7920000000000004,0.7920000000000004,0.203400042783964
0.1900618953632455,0.8160000000000004,0.8160000000000004,0.1900618953632455
0.1788116258317386,0.8400000000000004,0.8400000000000004,0.1788116258317386
0.1692454190684787,0.8640000000000004,0.8640000000000004,0.1692454190684787
0.1610260939605213,0.8880000000000005,0.8880000000000005,0.1610260939605213
0.1538925483006021,0.9120000000000005,0.9120000000000005,0.1538925483006021
0.1476453989043252,0.9360000000000005,0.9360000000000005,0.1476453989043252
0.142131302429114,0.9600000000000005,0.9600000000000005,0.142131302429114
0.1372307090237892,0.9840000000000005,0.9840000000000005,0.1372307090237892
0.132849069843606,1.008,1.008,0.132849069843606
0.1289106430617917,1.032,1.032,0.1289106430617917
0.1253540845071161,1.056,1.056,0.1253540845071161
0.1221292253098786,1.080000000000001,1.080000000000001,0.1221292253098786
0.1191946497042796,1.104000000000001,1.104000000000001,0.1191946497042796
0.1165158410410224,1.128000000000001,1.128000000000001,0.1165158410410224
0.1140637553060489,1.152000000000001,1.152000000000001,0.1140637553060489
0.1118137257806549,1.176000000000001,1.176000000000001,0.1118137257806549
0.1097446234058073,1.2,1.2,0.1097446234058073
