/BL (modelFiles=gpdk045.scs:tt) X,/BL (modelFiles=gpdk045.scs:tt) Y,/BLB (modelFiles=gpdk045.scs:tt) X,/BLB (modelFiles=gpdk045.scs:tt) Y,/Q (modelFiles=gpdk045.scs:tt) X,/Q (modelFiles=gpdk045.scs:tt) Y,/QB (modelFiles=gpdk045.scs:tt) X,/QB (modelFiles=gpdk045.scs:tt) Y,/VDD (modelFiles=gpdk045.scs:tt) X,/VDD (modelFiles=gpdk045.scs:tt) Y,/WL (modelFiles=gpdk045.scs:tt) X,/WL (modelFiles=gpdk045.scs:tt) Y,/V0/PLUS (modelFiles=gpdk045.scs:tt) X,/V0/PLUS (modelFiles=gpdk045.scs:tt) Y
0,0,0,1,0,2.86662488983234e-08,0,0.9999998789041044,0,1,0,1,0,-2.205943582930019e-11
3e-11,0,3e-11,1,3e-11,2.866624990118223e-08,3e-11,0.9999998789041907,3e-11,1,3e-11,1,3e-11,-2.205936799243664e-11
8.999999999999999e-11,0,8.999999999999999e-11,1,8.999999999999999e-11,2.866624898040407e-08,8.999999999999999e-11,0.9999998789042028,8.999999999999999e-11,1,8.999999999999999e-11,1,8.999999999999999e-11,-2.205936693837028e-11
2.1e-10,0,2.1e-10,1,2.1e-10,2.866624956640051e-08,2.1e-10,0.9999998789043275,2.1e-10,1,2.1e-10,1,2.1e-10,-2.205934964531042e-11
4.499999999999999e-10,0,4.499999999999999e-10,1,4.499999999999999e-10,2.866624731697163e-08,4.499999999999999e-10,0.9999998789040095,4.499999999999999e-10,1,4.499999999999999e-10,1,4.499999999999999e-10,-2.205939416569692e-11
9.299999999999999e-10,0,9.299999999999999e-10,1,9.299999999999999e-10,2.866625109733242e-08,9.299999999999999e-10,0.9999998789044373,9.299999999999999e-10,1,9.299999999999999e-10,1,9.299999999999999e-10,-2.20593338018536e-11
1.53e-09,0,1.53e-09,1,1.53e-09,2.866624611752137e-08,1.53e-09,0.9999998789039081,1.53e-09,1,1.53e-09,1,1.53e-09,-2.205940868737864e-11
2.13e-09,0,2.13e-09,1,2.13e-09,2.866625244949671e-08,2.13e-09,0.9999998789045252,2.13e-09,1,2.13e-09,1,2.13e-09,-2.205932106203628e-11
2.73e-09,0,2.73e-09,1,2.73e-09,2.866624455481029e-08,2.73e-09,0.9999998789038349,2.73e-09,1,2.73e-09,1,2.73e-09,-2.205941954208164e-11
3.33e-09,0,3.33e-09,1,3.33e-09,2.866625409524501e-08,3.33e-09,0.9999998789045248,3.33e-09,1,3.33e-09,1,3.33e-09,-2.205932013158406e-11
3.929999999998999e-09,0,3.929999999998999e-09,1,3.929999999998999e-09,2.866624289361181e-08,3.929999999998999e-09,0.9999998789038353,3.929999999998999e-09,1,3.929999999998999e-09,1,3.929999999998999e-09,-2.205942047700929e-11
3.99e-09,0,3.99e-09,1,3.99e-09,2.86662620478623e-08,3.99e-09,0.9999998789044965,3.99e-09,1,3.99e-09,1,3.99e-09,-2.205931873098275e-11
