/BL (modelFiles=gpdk045.scs:ff) X,/BL (modelFiles=gpdk045.scs:ff) Y,/BLB (modelFiles=gpdk045.scs:ff) X,/BLB (modelFiles=gpdk045.scs:ff) Y,/Q (modelFiles=gpdk045.scs:ff) X,/Q (modelFiles=gpdk045.scs:ff) Y,/QB (modelFiles=gpdk045.scs:ff) X,/QB (modelFiles=gpdk045.scs:ff) Y,/VDD (modelFiles=gpdk045.scs:ff) X,/VDD (modelFiles=gpdk045.scs:ff) Y,/WL (modelFiles=gpdk045.scs:ff) X,/WL (modelFiles=gpdk045.scs:ff) Y,/V0/PLUS (modelFiles=gpdk045.scs:ff) X,/V0/PLUS (modelFiles=gpdk045.scs:ff) Y
0,0,0,1.2,0,6.656547001017557e-07,0,1.199998414279713,0,1.2,0,0,0,-4.429651876729257e-10
3.2e-11,0,3.2e-11,1.2,3.2e-11,6.656547017425486e-07,3.2e-11,1.199998414279807,3.2e-11,1.2,3.2e-11,0,3.2e-11,-4.429651060675483e-10
9.599999999999999e-11,0,9.599999999999999e-11,1.2,9.599999999999999e-11,6.656547002374612e-07,9.599999999999999e-11,1.199998414279818,9.599999999999999e-11,1.2,9.599999999999999e-11,0,9.599999999999999e-11,-4.429651049804899e-10
2.24e-10,0,2.24e-10,1.2,2.24e-10,6.65654701714607e-07,2.24e-10,1.199998414280018,2.24e-10,1.2,2.24e-10,0,2.24e-10,-4.429650736675316e-10
4.8e-10,0,4.8e-10,1.2,4.8e-10,6.656546962780034e-07,4.8e-10,1.199998414279522,4.8e-10,1.2,4.8e-10,0,4.8e-10,-4.429651518936187e-10
9.919999999999999e-10,0,9.919999999999999e-10,1.2,9.919999999999999e-10,6.656547055671798e-07,9.919999999999999e-10,1.199998414280246,9.919999999999999e-10,1.2,9.919999999999999e-10,0,9.919999999999999e-10,-4.429650372268403e-10
1.632e-09,0,1.632e-09,1.2,1.632e-09,6.656546928328615e-07,1.632e-09,1.199998414279231,1.632e-09,1.2,1.632e-09,0,1.632e-09,-4.429651976811237e-10
1.99e-09,0,1.99e-09,1.2,1.99e-09,6.656547117679691e-07,1.99e-09,1.199998414280632,1.99e-09,1.2,1.99e-09,0,1.99e-09,-4.42964975778992e-10
1.990083402777e-09,0.01000833333331958,1.990083402777e-09,1.18999166666668,1.990083402777e-09,2.396017545686448e-06,1.990083402777e-09,1.199997692984213,1.990083402777e-09,1.2,1.990083402777e-09,0,1.990083402777e-09,-2.386544513466358e-10
1.990250208333e-09,0.03002499999995875,1.990250208333e-09,1.169975000000041,1.990250208333e-09,3.004512823584756e-06,1.990250208333e-09,1.199997907824119,1.990250208333e-09,1.2,1.990250208333e-09,0,1.990250208333e-09,4.730834110122389e-10
