/BL (modelFiles=gpdk045.scs:ss) X,/BL (modelFiles=gpdk045.scs:ss) Y,/BLB (modelFiles=gpdk045.scs:ss) X,/BLB (modelFiles=gpdk045.scs:ss) Y,/Q (modelFiles=gpdk045.scs:ss) X,/Q (modelFiles=gpdk045.scs:ss) Y,/QB (modelFiles=gpdk045.scs:ss) X,/QB (modelFiles=gpdk045.scs:ss) Y,/VDD (modelFiles=gpdk045.scs:ss) X,/VDD (modelFiles=gpdk045.scs:ss) Y,/WL (modelFiles=gpdk045.scs:ss) X,/WL (modelFiles=gpdk045.scs:ss) Y,/V0/PLUS (modelFiles=gpdk045.scs:ss) X,/V0/PLUS (modelFiles=gpdk045.scs:ss) Y
0,0,0,1,0,4.364410228466314e-08,0,0.9999998688782993,0,1,0,0,0,-1.675214696354001e-11
3.2e-11,0,3.2e-11,1,3.2e-11,4.364410521249744e-08,3.2e-11,0.999999868878419,3.2e-11,1,3.2e-11,0,3.2e-11,-1.675207941792303e-11
9.599999999999999e-11,0,9.599999999999999e-11,1,9.599999999999999e-11,4.364410264442794e-08,9.599999999999999e-11,0.9999998688784406,9.599999999999999e-11,1,9.599999999999999e-11,0,9.599999999999999e-11,-1.67520781320901e-11
2.24e-10,0,2.24e-10,1,2.24e-10,4.364410338921261e-08,2.24e-10,0.9999998688785556,2.24e-10,1,2.24e-10,0,2.24e-10,-1.675206708383442e-11
4.8e-10,0,4.8e-10,1,4.8e-10,4.364410021909127e-08,4.8e-10,0.9999998688784111,4.8e-10,1,4.8e-10,0,4.8e-10,-1.675208153356047e-11
9.919999999999999e-10,0,9.919999999999999e-10,1,9.919999999999999e-10,4.364410464969787e-08,9.919999999999999e-10,0.9999998688785356,9.919999999999999e-10,1,9.919999999999999e-10,0,9.919999999999999e-10,-1.675206860865912e-11
1.632e-09,0,1.632e-09,1,1.632e-09,4.364409932588849e-08,1.632e-09,0.9999998688783234,1.632e-09,1,1.632e-09,0,1.632e-09,-1.675209001923584e-11
1.99e-09,0,1.99e-09,1,1.99e-09,4.364410671403764e-08,1.99e-09,0.9999998688786719,1.99e-09,1,1.99e-09,0,1.99e-09,-1.675205524596924e-11
1.990083416666e-09,0.008341666666664842,1.990083416666e-09,0.9916583333333352,1.990083416666e-09,3.12164950734904e-07,1.990083416666e-09,0.9999992635326475,1.990083416666e-09,1,1.990083416666e-09,0,1.990083416666e-09,-1.235328115533411e-09
1.99025025e-09,0.02502499999999453,1.99025025e-09,0.9749750000000055,1.99025025e-09,9.783121339432727e-08,1.99025025e-09,0.9999992180129961,1.99025025e-09,1,1.99025025e-09,0,1.99025025e-09,6.095853948540891e-10
1.990583916666e-09,0.05839166666665389,1.990583916666e-09,0.9416083333333461,1.990583916666e-09,-5.958475236208832e-08,1.990583916666e-09,0.9999992159997687,1.990583916666e-09,1,1.990583916666e-09,0,1.990583916666e-09,-8.736349512600144e-10
1.991142573868e-09,0.1142573868435774,1.991142573868e-09,0.8857426131564226,1.991142573868e-09,-1.111872860838605e-07,1.991142573868e-09,0.9999992531187956,1.991142573868e-09,1,1.991142573868e-09,0,1.991142573868e-09,7.109067102212563e-10
1.992259888271e-09,0.2259888271974246,1.992259888271e-09,0.7740111728025755,1.992259888271e-09,-1.350346289443844e-07,1.992259888271e-09,0.9999993486113331,1.992259888271e-09,1,1.992259888271e-09,0,1.992259888271e-09,-8.10192443108978e-10
1.994494517079e-09,0.4494517079051188,1.994494517079e-09,0.5505482920948812,1.994494517079e-09,-7.760816688422551e-08,1.994494517079e-09,0.9999994703704518,1.994494517079e-09,1,1.994494517079e-09,0,1.994494517079e-09,7.380950443034861e-10
1.997247258539e-09,0.7247258539525387,1.997247258539e-09,0.2752741460474613,1.997247258539e-09,-1.517118549211238e-08,1.997247258539e-09,0.9999996186282326,1.997247258539e-09,1,1.997247258539e-09,0,1.997247258539e-09,-8.007098752058371e-10
1.999999999999e-09,0.9999999999999586,1.999999999999e-09,4.141131881851834e-14,1.999999999999e-09,4.106667440692628e-08,1.999999999999e-09,0.9999996978886651,1.999999999999e-09,1,1.999999999999e-09,0,1.999999999999e-09,7.411312681897756e-10
2.000083416666e-09,1,2.000083416666e-09,0,2.000083416666e-09,-5.076250455356953e-07,2.000083416666e-09,1.000000273289934,2.000083416666e-09,1,2.000083416666e-09,0,2.000083416666e-09,6.232641911377553e-10
2.00025025e-09,1,2.00025025e-09,0,2.00025025e-09,-4.831303298990817e-07,2.00025025e-09,1.000000282599345,2.00025025e-09,1,2.00025025e-09,0,2.00025025e-09,-4.886478087113514e-10
2.000583916666e-09,1,2.000583916666e-09,0,2.000583916666e-09,-4.192082600407812e-07,2.000583916666e-09,1.000000264903037,2.000583916666e-09,1,2.000583916666e-09,0,2.000583916666e-09,5.370354877813211e-10
2.001143362464e-09,1,2.001143362464e-09,0,2.001143362464e-09,-3.437298945461331e-07,2.001143362464e-09,1.000000265874026,2.001143362464e-09,1,2.001143362464e-09,0,2.001143362464e-09,-4.541950086551315e-10
2.00226225406e-09,1,2.00226225406e-09,0,2.00226225406e-09,-2.174493171770019e-07,2.00226225406e-09,1.000000216424798,2.00226225406e-09,1,2.00226225406e-09,0,2.00226225406e-09,4.958196211092157e-10
2.004500037252e-09,1,2.004500037252e-09,0,2.004500037252e-09,-8.976537212256805e-08,2.004500037252e-09,1.000000146112832,2.004500037252e-09,1,2.004500037252e-09,0,2.004500037252e-09,-4.657448026699683e-10
2.008975603636e-09,1,2.008975603636e-09,0,2.008975603636e-09,1.516053653861993e-08,2.008975603636e-09,0.9999999937463731,2.008975603636e-09,1,2.008975603636e-09,0,2.008975603636e-09,4.619893155824082e-10
2.017926736404e-09,1,2.017926736404e-09,0,2.017926736404e-09,4.708574677502856e-08,2.017926736404e-09,0.9999998832931125,2.017926736404e-09,1,2.017926736404e-09,0,2.017926736404e-09,-4.859455367256933e-10
2.03582900194e-09,1,2.03582900194e-09,0,2.03582900194e-09,5.731194736133778e-08,2.03582900194e-09,0.999999832412654,2.03582900194e-09,1,2.03582900194e-09,0,2.03582900194e-09,4.487519348594521e-10
2.071633533012e-09,1,2.071633533012e-09,0,2.071633533012e-09,5.422631849545845e-08,2.071633533012e-09,0.9999998515097465,2.071633533012e-09,1,2.071633533012e-09,0,2.071633533012e-09,-4.868512683928748e-10
2.143242595156e-09,1,2.143242595156e-09,0,2.143242595156e-09,5.675568143354703e-08,2.143242595156e-09,0.9999998354591862,2.143242595156e-09,1,2.143242595156e-09,0,2.143242595156e-09,4.483658778955008e-10
2.286460719444e-09,1,2.286460719444e-09,0,2.286460719444e-09,5.436646775549191e-08,2.286460719444e-09,0.9999998506319144,2.286460719444e-09,1,2.286460719444e-09,0,2.286460719444e-09,-4.866153982483846e-10
2.572896968019e-09,1,2.572896968019e-09,0,2.572896968019e-09,5.670945529995074e-08,2.572896968019e-09,0.9999998357891074,2.572896968019e-09,1,2.572896968019e-09,0,2.572896968019e-09,4.482417489455888e-10
2.99e-09,1,2.99e-09,0,2.99e-09,5.438831310462538e-08,2.99e-09,0.999999850467761,2.99e-09,1,2.99e-09,0,2.99e-09,-4.865442027815539e-10
2.990005213541e-09,1,2.990005213541e-09,0,2.990005213541e-09,1.735737064035582e-05,2.990005213541e-09,1.000018504651932,2.990005213541e-09,1,2.990005213541e-09,0.0005213541666691376,2.990005213541e-09,7.55291745617044e-07
2.990015640625e-09,1,2.990015640625e-09,0,2.990015640625e-09,5.481722616634058e-05,2.990015640625e-09,1.000059061833618,2.990015640625e-09,1,2.990015640625e-09,0.001564062500007413,2.990015640625e-09,1.192296367434599e-06
2.990036494791e-09,1,2.990036494791e-09,0,2.990036494791e-09,0.0001256241566697169,2.990036494791e-09,1.000137668242696,2.990036494791e-09,1,2.990036494791e-09,0.003649479166683963,2.990036494791e-09,8.981122908646971e-07
2.990078203125e-09,1,2.990078203125e-09,0,2.990078203125e-09,0.0002641287328047843,2.990078203125e-09,1.000292239697482,2.990078203125e-09,1,2.990078203125e-09,0.007820312500037063,2.990078203125e-09,1.121709315940231e-06
2.990161619791e-09,1,2.990161619791e-09,0,2.990161619791e-09,0.0005366370338413546,2.990161619791e-09,1.000597806995161,2.990161619791e-09,1,2.990161619791e-09,0.01616197916674326,2.990161619791e-09,9.323562860474798e-07
2.990328453125e-09,1,2.990328453125e-09,0,2.990328453125e-09,0.001055049858200979,2.990328453125e-09,1.001187409025614,2.990328453125e-09,1,2.990328453125e-09,0.03284531250015567,2.990328453125e-09,1.118181072517448e-06
2.990662119791e-09,1,2.990662119791e-09,0,2.990662119791e-09,0.002002158708861718,2.990662119791e-09,1.002293345130225,2.990662119791e-09,1,2.990662119791e-09,0.06621197916698048,2.990662119791e-09,9.586686586524888e-07
