metric_family,case,corner,corner_label,value,unit,reference_case,reference_value,delta_value,delta_percent,evidence_type,source_files,notes
Hold SNM,Baseline,ff,FF 1.2 V,461.093696,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/hold/holdSNM_ff.csv; sim_data/baseline/hold/holdSNM_tt.csv; sim_data/baseline/hold/holdSNM_ss.csv,Largest-square SNM extraction from the hold butterfly CSVs.
Hold SNM,Baseline,tt,TT 1.0 V,422.318398,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/hold/holdSNM_ff.csv; sim_data/baseline/hold/holdSNM_tt.csv; sim_data/baseline/hold/holdSNM_ss.csv,Largest-square SNM extraction from the hold butterfly CSVs.
Hold SNM,Baseline,ss_1V,SS 1.0 V,426.504067,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/hold/holdSNM_ff.csv; sim_data/baseline/hold/holdSNM_tt.csv; sim_data/baseline/hold/holdSNM_ss.csv,Largest-square SNM extraction from the hold butterfly CSVs.
Read SNM,Baseline,ff,FF 1.2 V,222.939201,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/read/ReadSNM_ff.csv; sim_data/baseline/read/ReadSNM_tt.csv; sim_data/baseline/read/ReadSNM_ss.csv,Largest-square limiting-eye extraction from the read butterfly CSVs.
Read SNM,Baseline,tt,TT 1.0 V,212.490719,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/read/ReadSNM_ff.csv; sim_data/baseline/read/ReadSNM_tt.csv; sim_data/baseline/read/ReadSNM_ss.csv,Largest-square limiting-eye extraction from the read butterfly CSVs.
Read SNM,Baseline,ss_1V,SS 1.0 V,224.231356,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/read/ReadSNM_ff.csv; sim_data/baseline/read/ReadSNM_tt.csv; sim_data/baseline/read/ReadSNM_ss.csv,Largest-square limiting-eye extraction from the read butterfly CSVs.
Write Noise Margin,Baseline,ff,FF 1.2 V,473.869408,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/write/writenm_ff.csv; sim_data/baseline/write/writenm_tt.csv; sim_data/baseline/write/writenm_ss.csv,Diagonal-corner WNM extraction following the current project convention.
Write Noise Margin,Baseline,tt,TT 1.0 V,361.685074,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/write/writenm_ff.csv; sim_data/baseline/write/writenm_tt.csv; sim_data/baseline/write/writenm_ss.csv,Diagonal-corner WNM extraction following the current project convention.
Write Noise Margin,Baseline,ss_1V,SS 1.0 V,258.591459,mV,NA,NA,NA,NA,Measured in Cadence,sim_data/baseline/write/writenm_ff.csv; sim_data/baseline/write/writenm_tt.csv; sim_data/baseline/write/writenm_ss.csv,Diagonal-corner WNM extraction following the current project convention.
Hold SNM,High Vt,ff,FF 1.2 V,466.206644,mV,Baseline,461.093696,5.112949,1.108874,Measured in Cadence,sim_data/optimized/high_vt/hold_snm_opt_vt_ff.csv; sim_data/optimized/high_vt/hold_snm_opt_vt_tt.csv; sim_data/optimized/high_vt/hold_snm_opt_vt_ss.csv,High-Vt hold SNM relative to the baseline cell.
Hold SNM,High Vt,ss_1V,SS 1.0 V,416.231874,mV,Baseline,426.504067,-10.272193,-2.408463,Measured in Cadence,sim_data/optimized/high_vt/hold_snm_opt_vt_ff.csv; sim_data/optimized/high_vt/hold_snm_opt_vt_tt.csv; sim_data/optimized/high_vt/hold_snm_opt_vt_ss.csv,High-Vt hold SNM relative to the baseline cell.
Hold SNM,High Vt,tt,TT 1.0 V,406.018277,mV,Baseline,422.318398,-16.300121,-3.859676,Measured in Cadence,sim_data/optimized/high_vt/hold_snm_opt_vt_ff.csv; sim_data/optimized/high_vt/hold_snm_opt_vt_tt.csv; sim_data/optimized/high_vt/hold_snm_opt_vt_ss.csv,High-Vt hold SNM relative to the baseline cell.
Read SNM,High Vt,ff,FF 1.2 V,206.606503,mV,Baseline,222.939201,-16.332698,-7.326077,Measured in Cadence,sim_data/optimized/high_vt/opt_Vt_readSNM_ff.csv; sim_data/optimized/high_vt/opt_Vt_readSNM_tt.csv; sim_data/optimized/high_vt/opt_Vt_readSNM_ss.csv,High-Vt read SNM relative to the baseline cell.
Read SNM,High Vt,ss_1V,SS 1.0 V,206.349402,mV,Baseline,224.231356,-17.881955,-7.974779,Measured in Cadence,sim_data/optimized/high_vt/opt_Vt_readSNM_ff.csv; sim_data/optimized/high_vt/opt_Vt_readSNM_tt.csv; sim_data/optimized/high_vt/opt_Vt_readSNM_ss.csv,High-Vt read SNM relative to the baseline cell.
