/BL (modelFiles=gpdk045.scs:ss) X,/BL (modelFiles=gpdk045.scs:ss) Y,/BLB (modelFiles=gpdk045.scs:ss) X,/BLB (modelFiles=gpdk045.scs:ss) Y,/Q (modelFiles=gpdk045.scs:ss) X,/Q (modelFiles=gpdk045.scs:ss) Y,/QB (modelFiles=gpdk045.scs:ss) X,/QB (modelFiles=gpdk045.scs:ss) Y,/VDD (modelFiles=gpdk045.scs:ss) X,/VDD (modelFiles=gpdk045.scs:ss) Y,/WL (modelFiles=gpdk045.scs:ss) X,/WL (modelFiles=gpdk045.scs:ss) Y,/V0/PLUS (modelFiles=gpdk045.scs:ss) X,/V0/PLUS (modelFiles=gpdk045.scs:ss) Y
0,0,0,1,0,2.942989456293483e-08,0,0.9999998721846081,0,1,0,1,0,-1.644184314614661e-11
3e-11,0,3e-11,1,3e-11,2.942989648845102e-08,3e-11,0.9999998721847263,3e-11,1,3e-11,1,3e-11,-1.644177569040578e-11
8.999999999999999e-11,0,8.999999999999999e-11,1,8.999999999999999e-11,2.942989482879741e-08,8.999999999999999e-11,0.9999998721847491,8.999999999999999e-11,1,8.999999999999999e-11,1,8.999999999999999e-11,-1.644177432642835e-11
2.1e-10,0,2.1e-10,1,2.1e-10,2.942989367557247e-08,2.1e-10,0.9999998721846742,2.1e-10,1,2.1e-10,1,2.1e-10,-1.644178178651708e-11
4.499999999999999e-10,0,4.499999999999999e-10,1,4.499999999999999e-10,2.942989570847506e-08,4.499999999999999e-10,0.9999998721847454,4.499999999999999e-10,1,4.499999999999999e-10,1,4.499999999999999e-10,-1.644177426725856e-11
9.299999999999999e-10,0,9.299999999999999e-10,1,9.299999999999999e-10,2.942989326096183e-08,9.299999999999999e-10,0.9999998721846718,9.299999999999999e-10,1,9.299999999999999e-10,1,9.299999999999999e-10,-1.644178221030722e-11
1.53e-09,0,1.53e-09,1,1.53e-09,2.942989587710216e-08,1.53e-09,0.9999998721846852,1.53e-09,1,1.53e-09,1,1.53e-09,-1.644177983666781e-11
2.13e-09,0,2.13e-09,1,2.13e-09,2.942989314796534e-08,2.13e-09,0.9999998721846266,2.13e-09,1,2.13e-09,1,2.13e-09,-1.6441786514847e-11
2.73e-09,0,2.73e-09,1,2.73e-09,2.942989649078427e-08,2.73e-09,0.999999872184935,2.73e-09,1,2.73e-09,1,2.73e-09,-1.644175611598084e-11
3.33e-09,0,3.33e-09,1,3.33e-09,2.942989173820992e-08,3.33e-09,0.9999998721843858,3.33e-09,1,3.33e-09,1,3.33e-09,-1.644180973679743e-11
3.929999999998999e-09,0,3.929999999998999e-09,1,3.929999999998999e-09,2.942989868298664e-08,3.929999999998999e-09,0.9999998721851672,3.929999999998999e-09,1,3.929999999998999e-09,1,3.929999999998999e-09,-1.644173336820576e-11
3.99e-09,0,3.99e-09,1,3.99e-09,2.942987815416886e-08,3.99e-09,0.9999998721843755,3.99e-09,1,3.99e-09,1,3.99e-09,-1.644181702326056e-11
3.990083416666e-09,0.008341666666706547,3.990083416666e-09,0.9916583333332935,3.990083416666e-09,0.000638131124618552,3.990083416666e-09,1.000183563098873,3.990083416666e-09,1,3.990083416666e-09,1,3.990083416666e-09,1.222988586961001e-06
3.99025025e-09,0.02502500000011964,3.99025025e-09,0.9749749999998804,3.99025025e-09,0.002087961993842971,3.99025025e-09,1.000605149547689,3.99025025e-09,1,3.99025025e-09,1,3.99025025e-09,1.637655832204914e-06
3.990583916666e-09,0.05839166666694583,3.990583916666e-09,0.9416083333330542,3.990583916666e-09,0.005703902749301895,3.990583916666e-09,1.0016213615437,3.990583916666e-09,1,3.990583916666e-09,1,3.990583916666e-09,2.014098063743139e-06
3.991009641685e-09,0.1009641685113579,3.991009641685e-09,0.8990358314886421,3.991009641685e-09,0.01118035964427302,3.991009641685e-09,1.003079948206656,3.991009641685e-09,1,3.991009641685e-09,1,3.991009641685e-09,2.442296837707244e-06
3.991861091722e-09,0.1861091722001822,3.991861091722e-09,0.8138908277998178,3.991861091722e-09,0.02297610924953338,3.991861091722e-09,1.005919430827289,3.991861091722e-09,1,3.991861091722e-09,1,3.991861091722e-09,2.5829766994023e-06
3.993120075881e-09,0.3120075881153301,3.993120075881e-09,0.6879924118846699,3.993120075881e-09,0.03986168322879122,3.993120075881e-09,1.009261757689632,3.993120075881e-09,1,3.993120075881e-09,1,3.993120075881e-09,2.630283369046586e-06
3.994949489337999e-09,0.4949489338406663,3.994949489337999e-09,0.5050510661593337,3.994949489337999e-09,0.05948996559341478,3.994949489337999e-09,1.011726154989858,3.994949489337999e-09,1,3.994949489337999e-09,1,3.994949489337999e-09,1.990323960115956e-06
3.997378669935e-09,0.7378669935248583,3.997378669935e-09,0.2621330064751417,3.997378669935e-09,0.07611868979388561,3.997378669935e-09,1.004964964670635,3.997378669935e-09,1,3.997378669935e-09,1,3.997378669935e-09,2.152908604688738e-10
3.998826203014e-09,0.8826203014144093,3.998826203014e-09,0.1173796985855907,3.998826203014e-09,0.08093720199360113,3.998826203014e-09,0.9845317618014895,3.998826203014e-09,1,3.998826203014e-09,1,3.998826203014e-09,-5.553626049039371e-06
3.999413101507e-09,0.941310150707246,3.999413101507e-09,0.058689849292754,3.999413101507e-09,0.08175781843323124,3.999413101507e-09,0.9685773522041871,3.999413101507e-09,1,3.999413101507e-09,1,3.999413101507e-09,-8.132937044556368e-06
3.999999999999999e-09,1,3.999999999999999e-09,0,3.999999999999999e-09,0.08218724612790637,3.999999999999999e-09,0.9462142598263289,3.999999999999999e-09,1,3.999999999999999e-09,1,3.999999999999999e-09,-1.121180355876583e-05
4.000083416666e-09,1,4.000083416666e-09,0,4.000083416666e-09,0.08225689840330774,4.000083416666e-09,0.9425497729487233,4.000083416666e-09,1,4.000083416666e-09,1,4.000083416666e-09,-1.113418218152955e-05
4.000125125e-09,1,4.000125125e-09,0,4.000125125e-09,0.08229685514770257,4.000125125e-09,0.9407100909145445,4.000125125e-09,1,4.000125125e-09,1,4.000125125e-09,-1.106195647288605e-05
4.000208541666e-09,1,4.000208541666e-09,0,4.000208541666e-09,0.08240021290044,4.000208541666e-09,0.9370414156081983,4.000208541666e-09,1,4.000208541666e-09,1,4.000208541666e-09,-1.112663711227197e-05
4.00025025e-09,1,4.00025025e-09,0,4.00025025e-09,0.08246342682689141,4.00025025e-09,0.9352131078912429,4.00025025e-09,1,4.00025025e-09,1,4.00025025e-09,-1.107293830316186e-05
4.000333666665999e-09,1,4.000333666665999e-09,0,4.000333666665999e-09,0.08261221463699181,4.000333666665999e-09,0.9315669108192877,4.000333666665999e-09,1,4.000333666665999e-09,1,4.000333666665999e-09,-1.112364537386701e-05
4.000375375e-09,1,4.000375375e-09,0,4.000375375e-09,0.08269762221781143,4.000375375e-09,0.9297496639977652,4.000375375e-09,1,4.000375375e-09,1,4.000375375e-09,-1.108354492654403e-05
4.000458791666e-09,1,4.000458791666e-09,0,4.000458791666e-09,0.08288979464656482,4.000458791666e-09,0.9261256151633944,4.000458791666e-09,1,4.000458791666e-09,1,4.000458791666e-09,-1.112484837635469e-05
4.000625625e-09,1,4.000625625e-09,0,4.000625625e-09,0.08335644179172114,4.000625625e-09,0.9189218472550043,4.000625625e-09,1,4.000625625e-09,1,4.000625625e-09,-1.110210842757617e-05
4.000959291666e-09,1,4.000959291666e-09,0,4.000959291666e-09,0.08459644706672272,4.000959291666e-09,0.9046939147751658,4.000959291666e-09,1,4.000959291666e-09,1,4.000959291666e-09,-1.117623623581346e-05
4.001626625e-09,1,4.001626625e-09,0,4.001626625e-09,0.08815130601777585,4.001626625e-09,0.877014946255153,4.001626625e-09,1,4.001626625e-09,1,4.001626625e-09,-1.128088776772363e-05
4.002961291665999e-09,1,4.002961291665999e-09,0,4.002961291665999e-09,0.09864138246971149,4.002961291665999e-09,0.8247517118782994,4.002961291665999e-09,1,4.002961291665999e-09,1,4.002961291665999e-09,-1.157542961659875e-05
4.005506538660999e-09,1,4.005506538660999e-09,0,4.005506538660999e-09,0.1265823981549538,4.005506538660999e-09,0.7319681996059849,4.005506538660999e-09,1,4.005506538660999e-09,1,4.005506538660999e-09,-1.119883316591118e-05
4.008385517393999e-09,1,4.008385517393999e-09,0,4.008385517393999e-09,0.1617895123022625,4.008385517393999e-09,0.6292119499593349,4.008385517393999e-09,1,4.008385517393999e-09,1,4.008385517393999e-09,-1.047744628362385e-05
4.011444181115e-09,1,4.011444181115e-09,0,4.011444181115e-09,0.1940400667232139,4.011444181115e-09,0.5170183291551148,4.011444181115e-09,1,4.011444181115e-09,1,4.011444181115e-09,-1.004375297283645e-05
4.014866379047999e-09,1,4.014866379047999e-09,0,4.014866379047999e-09,0.2231541180202279,4.014866379047999e-09,0.3935266472065026,4.014866379047999e-09,1,4.014866379047999e-09,1,4.014866379047999e-09,-1.03861132927159e-05
4.019313391787e-09,1,4.019313391787e-09,0,4.019313391787e-09,0.2696322626067678,4.019313391787e-09,0.2523865261075027,4.019313391787e-09,1,4.019313391787e-09,1,4.019313391787e-09,-1.188879157806689e-05
4.022929786746e-09,1,4.022929786746e-09,0,4.022929786746e-09,0.3311146362194396,4.022929786746e-09,0.1606168624894007,4.022929786746e-09,1,4.022929786746e-09,1,4.022929786746e-09,-1.278221440188789e-05
4.026598686034e-09,1,4.026598686034e-09,0,4.026598686034e-09,0.4241028130974806,4.026598686034e-09,0.09623674722681884,4.026598686034e-09,1,4.026598686034e-09,1,4.026598686034e-09,-1.260414650333473e-05
4.031002860921999e-09,1,4.031002860921999e-09,0,4.031002860921999e-09,0.5672902365725275,4.031002860921999e-09,0.05430691907099625,4.031002860921999e-09,1,4.031002860921999e-09,1,4.031002860921999e-09,-1.218253159647289e-05
4.034277368633999e-09,1,4.034277368633999e-09,0,4.034277368633999e-09,0.6774806990453003,4.034277368633999e-09,0.03810614991898836,4.034277368633999e-09,1,4.034277368633999e-09,1,4.034277368633999e-09,-1.154723961709784e-05
4.037617833481e-09,1,4.037617833481e-09,0,4.037617833481e-09,0.777282075180981,4.037617833481e-09,0.02708649601438651,4.037617833481e-09,1,4.037617833481e-09,1,4.037617833481e-09,-1.007644146658572e-05
4.040957253106e-09,1,4.040957253106e-09,0,4.040957253106e-09,0.8564914501650283,4.040957253106e-09,0.01840865909152707,4.040957253106e-09,1,4.040957253106e-09,1,4.040957253106e-09,-7.77594482972356e-06
4.045056183165e-09,1,4.045056183165e-09,0,4.045056183165e-09,0.9207703832589119,4.045056183165e-09,0.0103973804259162,4.045056183165e-09,1,4.045056183165e-09,1,4.045056183165e-09,-4.591500033695142e-06
4.050535677349999e-09,1,4.050535677349999e-09,0,4.050535677349999e-09,0.9653696988859428,4.050535677349999e-09,0.004359308316039413,4.050535677349999e-09,1,4.050535677349999e-09,1,4.050535677349999e-09,-2.136246548549293e-06
4.055282262457e-09,1,4.055282262457e-09,0,4.055282262457e-09,0.9832192742922032,4.055282262457e-09,0.002077824363459354,4.055282262457e-09,1,4.055282262457e-09,1,4.055282262457e-09,-1.024189311372985e-06
4.059875058511e-09,1,4.059875058511e-09,0,4.059875058511e-09,0.991736968000533,4.059875058511e-09,0.001019239566965192,4.059875058511e-09,1,4.059875058511e-09,1,4.059875058511e-09,-5.418465127313306e-07
4.065310807084e-09,1,4.065310807084e-09,0,4.065310807084e-09,0.9964993882896602,4.065310807084e-09,0.0004310821873495534,4.065310807084e-09,1,4.065310807084e-09,1,4.065310807084e-09,-2.003366370515959e-07
4.072267016023e-09,1,4.072267016023e-09,0,4.072267016023e-09,0.9988941907491453,4.072267016023e-09,0.0001359937437814521,4.072267016023e-09,1,4.072267016023e-09,1,4.072267016023e-09,-9.153903970936497e-08
4.081367183797e-09,1,4.081367183797e-09,0,4.081367183797e-09,0.9997901017755695,4.081367183797e-09,2.592435065946953e-05,4.081367183797e-09,1,4.081367183797e-09,1,4.081367183797e-09,7.849268144329683e-09
4.093722531408999e-09,1,4.093722531408999e-09,0,4.093722531408999e-09,0.9999920236877027,4.093722531408999e-09,8.924378428341233e-07,4.093722531408999e-09,1,4.093722531408999e-09,1,4.093722531408999e-09,-2.168378131983692e-08
4.111880677915e-09,1,4.111880677915e-09,0,4.111880677915e-09,1.000001112289721,4.111880677915e-09,-2.826295924545559e-08,4.111880677915e-09,1,4.111880677915e-09,1,4.111880677915e-09,2.11780915335569e-08
4.142562055933e-09,1,4.142562055933e-09,0,4.142562055933e-09,0.9999994741199741,4.142562055933e-09,-1.339798838664207e-08,4.142562055933e-09,1,4.142562055933e-09,1,4.142562055933e-09,-2.113678216226017e-08
4.20392481197e-09,1,4.20392481197e-09,0,4.20392481197e-09,1.000000079393004,4.20392481197e-09,9.884167492760001e-08,4.20392481197e-09,1,4.20392481197e-09,1,4.20392481197e-09,2.108060866012442e-08
4.326650324043999e-09,1,4.326650324043999e-09,0,4.326650324043999e-09,0.9999997495442264,4.326650324043999e-09,-6.309956436926682e-08,4.326650324043999e-09,1,4.326650324043999e-09,1,4.326650324043999e-09,-2.110220015364058e-08
4.5e-09,1,4.5e-09,0,4.5e-09,0.9999999306113549,4.5e-09,1.493846436971457e-07,4.5e-09,1,4.5e-09,1,4.5e-09,2.106060867927752e-08
4.846699351910999e-09,1,4.846699351910999e-09,0,4.846699351910999e-09,0.999999875358875,4.846699351910999e-09,3.012766658644066e-08,4.846699351910999e-09,1,4.846699351910999e-09,1,4.846699351910999e-09,-1.57418390599979e-11
4.996699351911e-09,1,4.996699351911e-09,0,4.996699351911e-09,0.9999998693482437,4.996699351911e-09,2.885436855955735e-08,4.996699351911e-09,1,4.996699351911e-09,1,4.996699351911e-09,-1.712963455470646e-11
5.296699351910999e-09,1,5.296699351910999e-09,0,5.296699351910999e-09,0.9999998748186036,5.296699351910999e-09,2.999106696555855e-08,5.296699351910999e-09,1,5.296699351910999e-09,1,5.296699351910999e-09,-1.576426233116894e-11
5.896699351911e-09,1,5.896699351911e-09,0,5.896699351911e-09,0.9999998696548238,5.896699351911e-09,2.886901478855284e-08,5.896699351911e-09,1,5.896699351911e-09,1,5.896699351911e-09,-1.711364356360055e-11
5.989999999999999e-09,1,5.989999999999999e-09,0,5.989999999999999e-09,0.9999998741368363,5.989999999999999e-09,2.998461066957897e-08,5.989999999999999e-09,1,5.989999999999999e-09,1,5.989999999999999e-09,-1.580086609073845e-11
5.990005213541e-09,1,5.990005213541e-09,0,5.990005213541e-09,0.9999764156139664,5.990005213541e-09,-3.661106149501614e-05,5.990005213541e-09,1,5.990005213541e-09,0.9994786458332895,5.990005213541e-09,-1.335843233264946e-06
5.990015640624999e-09,1,5.990015640624999e-09,0,5.990015640624999e-09,0.999921986058246,5.990015640624999e-09,-0.0001257260163639844,5.990015640624999e-09,1,5.990015640624999e-09,0.9984359374998686,5.990015640624999e-09,-2.420831332733803e-06
5.990020854165999e-09,1,5.990020854165999e-09,0,5.990020854165999e-09,0.9998933624043025,5.990020854165999e-09,-0.000173605884594782,5.990020854165999e-09,1,5.990020854165999e-09,0.9979145833331581,5.990020854165999e-09,-2.137599679230491e-06
5.99003128125e-09,1,5.99003128125e-09,0,5.99003128125e-09,0.9998387818154562,5.99003128125e-09,-0.0002630954963042629,5.99003128125e-09,1,5.99003128125e-09,0.9968718749997372,5.99003128125e-09,-2.097498451285394e-06
5.990052135416e-09,1,5.990052135416e-09,0,5.990052135416e-09,0.9997296413261055,5.990052135416e-09,-0.0004422408995055364,5.990052135416e-09,1,5.990052135416e-09,0.9947864583328953,5.990052135416e-09,-2.108657852324524e-06
5.99009384375e-09,1,5.99009384375e-09,0,5.99009384375e-09,0.9995148321670236,5.99009384375e-09,-0.0007932340966674566,5.99009384375e-09,1,5.99009384375e-09,0.9906156249992114,5.99009384375e-09,-2.06498033454915e-06
