/BL (modelFiles=gpdk045.scs:ff) X,/BL (modelFiles=gpdk045.scs:ff) Y,/BLB (modelFiles=gpdk045.scs:ff) X,/BLB (modelFiles=gpdk045.scs:ff) Y,/Q (modelFiles=gpdk045.scs:ff) X,/Q (modelFiles=gpdk045.scs:ff) Y,/QB (modelFiles=gpdk045.scs:ff) X,/QB (modelFiles=gpdk045.scs:ff) Y,/VDD (modelFiles=gpdk045.scs:ff) X,/VDD (modelFiles=gpdk045.scs:ff) Y,/WL (modelFiles=gpdk045.scs:ff) X,/WL (modelFiles=gpdk045.scs:ff) Y,/V0/PLUS (modelFiles=gpdk045.scs:ff) X,/V0/PLUS (modelFiles=gpdk045.scs:ff) Y
0,0,0,1.2,0,6.656547000746805e-07,0,1.199998414279713,0,1.2,0,0,0,-4.429651876729257e-10
3e-11,0,3e-11,1.2,3e-11,6.656547018034982e-07,3e-11,1.199998414279806,3e-11,1.2,3e-11,0,3e-11,-4.429651061349219e-10
8.999999999999999e-11,0,8.999999999999999e-11,1.2,8.999999999999999e-11,6.656547002619628e-07,8.999999999999999e-11,1.199998414279818,8.999999999999999e-11,1.2,8.999999999999999e-11,0,8.999999999999999e-11,-4.42965104997401e-10
2.1e-10,0,2.1e-10,1.2,2.1e-10,6.656546999286121e-07,2.1e-10,1.199998414279821,2.1e-10,1.2,2.1e-10,0,2.1e-10,-4.429651044919055e-10
4.499999999999999e-10,0,4.499999999999999e-10,1.2,4.499999999999999e-10,6.656547008940237e-07,4.499999999999999e-10,1.199998414279967,4.499999999999999e-10,1.2,4.499999999999999e-10,0,4.499999999999999e-10,-4.429650819691702e-10
9.299999999999999e-10,0,9.299999999999999e-10,1.2,9.299999999999999e-10,6.656546988722192e-07,9.299999999999999e-10,1.199998414279804,9.299999999999999e-10,1.2,9.299999999999999e-10,0,9.299999999999999e-10,-4.429651075595729e-10
1.53e-09,0,1.53e-09,1.2,1.53e-09,6.656547012756325e-07,1.53e-09,1.199998414279801,1.53e-09,1.2,1.53e-09,0,1.53e-09,-4.429651071360447e-10
1.99e-09,0,1.99e-09,1.2,1.99e-09,6.656546987409951e-07,1.99e-09,1.199998414279711,1.99e-09,1.2,1.99e-09,0,1.99e-09,-4.429651218353539e-10
1.990083402777e-09,0.01000833333331958,1.990083402777e-09,1.18999166666668,1.990083402777e-09,2.396017539026969e-06,1.990083402777e-09,1.199997692983314,1.990083402777e-09,1.2,1.990083402777e-09,0,1.990083402777e-09,-2.3865452324548e-10
1.990250208333e-09,0.03002499999995875,1.990250208333e-09,1.169975000000041,1.990250208333e-09,3.004515407668554e-06,1.990250208333e-09,1.199997907822036,1.990250208333e-09,1.2,1.990250208333e-09,0,1.990250208333e-09,4.730832267752953e-10
1.990583819444e-09,0.07005833333323708,1.990583819444e-09,1.129941666666763,1.990583819444e-09,3.457821784975876e-06,1.990583819444e-09,1.199998046083149,1.990583819444e-09,1.2,1.990583819444e-09,0,1.990583819444e-09,-9.484782029992043e-10
1.991142864091e-09,0.1371436909795742,1.991142864091e-09,1.062856309020426,1.991142864091e-09,3.913101400103378e-06,1.991142864091e-09,1.199998226206811,1.991142864091e-09,1.2,1.991142864091e-09,0,1.991142864091e-09,2.767539265469199e-10
1.992260953385e-09,0.2713144062722483,1.992260953385e-09,0.9286855937277516,1.992260953385e-09,4.133742245225897e-06,1.992260953385e-09,1.199998318004844,1.992260953385e-09,1.2,1.992260953385e-09,0,1.992260953385e-09,-1.110820943279979e-09
1.994497131973e-09,0.5396558368575968,1.994497131973e-09,0.6603441631424032,1.994497131973e-09,3.387757424281996e-06,1.994497131973e-09,1.199998182110598,1.994497131973e-09,1.2,1.994497131973e-09,0,1.994497131973e-09,6.679763210471744e-11
1.997248565986e-09,0.8698279184287984,1.997248565986e-09,0.3301720815712016,1.997248565986e-09,2.233600223068841e-06,1.997248565986e-09,1.199998022602336,1.997248565986e-09,1.2,1.997248565986e-09,0,1.997248565986e-09,-1.161243428678052e-09
2e-09,1.2,2e-09,0,2e-09,1.704092429710868e-06,2e-09,1.199997734984116,2e-09,1.2,2e-09,0,2e-09,1.584883614408341e-11
2.000083402777e-09,1.2,2.000083402777e-09,0,2.000083402777e-09,7.803722032989013e-07,2.000083402777e-09,1.199998728496487,2.000083402777e-09,1.2,2.000083402777e-09,0,2.000083402777e-09,1.104046639272845e-09
2.000250208333e-09,1.2,2.000250208333e-09,0,2.000250208333e-09,7.986910346828333e-07,2.000250208333e-09,1.199998684445842,2.000250208333e-09,1.2,2.000250208333e-09,0,2.000250208333e-09,-1.925334867363017e-09
2.000583819444e-09,1.2,2.000583819444e-09,0,2.000583819444e-09,8.439205694353436e-07,2.000583819444e-09,1.199998552679515,2.000583819444e-09,1.2,2.000583819444e-09,0,2.000583819444e-09,8.866047149794893e-10
2.001145330399e-09,1.2,2.001145330399e-09,0,2.001145330399e-09,9.095238567910008e-07,2.001145330399e-09,1.199998389763191,2.001145330399e-09,1.2,2.001145330399e-09,0,2.001145330399e-09,-1.826941819739293e-09
2.002268352308e-09,1.2,2.002268352308e-09,0,2.002268352308e-09,1.000924202026711e-06,2.002268352308e-09,1.19999806438003,2.002268352308e-09,1.2,2.002268352308e-09,0,2.002268352308e-09,7.507460355461529e-10
2.004514396127e-09,1.2,2.004514396127e-09,0,2.004514396127e-09,1.138990308525458e-06,2.004514396127e-09,1.199997658393357,2.004514396127e-09,1.2,2.004514396127e-09,0,2.004514396127e-09,-1.866739803107593e-09
2.009006483765e-09,1.2,2.009006483765e-09,0,2.009006483765e-09,1.254314555349997e-06,2.009006483765e-09,1.199997207601789,2.009006483765e-09,1.2,2.009006483765e-09,0,2.009006483765e-09,6.359308814555517e-10
