/BL (modelFiles=gpdk045.scs:tt) X,/BL (modelFiles=gpdk045.scs:tt) Y,/BLB (modelFiles=gpdk045.scs:tt) X,/BLB (modelFiles=gpdk045.scs:tt) Y,/Q (modelFiles=gpdk045.scs:tt) X,/Q (modelFiles=gpdk045.scs:tt) Y,/QB (modelFiles=gpdk045.scs:tt) X,/QB (modelFiles=gpdk045.scs:tt) Y,/VDD (modelFiles=gpdk045.scs:tt) X,/VDD (modelFiles=gpdk045.scs:tt) Y,/WL (modelFiles=gpdk045.scs:tt) X,/WL (modelFiles=gpdk045.scs:tt) Y,/V0/PLUS (modelFiles=gpdk045.scs:tt) X,/V0/PLUS (modelFiles=gpdk045.scs:tt) Y
0,0,0,1,0,4.223779154773217e-08,0,0.9999998753914556,0,1,0,0,0,-2.253589038036118e-11
3e-11,0,3e-11,1,3e-11,4.223779321999481e-08,3e-11,0.999999875391542,3e-11,1,3e-11,0,3e-11,-2.253582253458105e-11
8.999999999999999e-11,0,8.999999999999999e-11,1,8.999999999999999e-11,4.223779168516422e-08,8.999999999999999e-11,0.999999875391554,8.999999999999999e-11,1,8.999999999999999e-11,0,8.999999999999999e-11,-2.253582148955495e-11
2.1e-10,0,2.1e-10,1,2.1e-10,4.223779158858922e-08,2.1e-10,0.9999998753915738,2.1e-10,1,2.1e-10,0,2.1e-10,-2.253581882475648e-11
4.499999999999999e-10,0,4.499999999999999e-10,1,4.499999999999999e-10,4.223779144398618e-08,4.499999999999999e-10,0.9999998753915618,4.499999999999999e-10,1,4.499999999999999e-10,0,4.499999999999999e-10,-2.253582051779743e-11
9.299999999999999e-10,0,9.299999999999999e-10,1,9.299999999999999e-10,4.223779155811743e-08,9.299999999999999e-10,0.999999875391528,9.299999999999999e-10,1,9.299999999999999e-10,0,9.299999999999999e-10,-2.253582504858095e-11
1.53e-09,0,1.53e-09,1,1.53e-09,4.223779178380623e-08,1.53e-09,0.9999998753916988,1.53e-09,1,1.53e-09,0,1.53e-09,-2.253580176688665e-11
1.99e-09,0,1.99e-09,1,1.99e-09,4.223779010461899e-08,1.99e-09,0.999999875391279,1.99e-09,1,1.99e-09,0,1.99e-09,-2.253585933854479e-11
1.990083416666e-09,0.008341666666664842,1.990083416666e-09,0.9916583333333352,1.990083416666e-09,3.874545456477441e-07,1.990083416666e-09,0.9999992594739668,1.990083416666e-09,1,1.990083416666e-09,0,1.990083416666e-09,-1.176469842373658e-09
1.99025025e-09,0.02502499999999453,1.99025025e-09,0.9749750000000055,1.99025025e-09,1.994979253569248e-07,1.99025025e-09,0.9999992255772813,1.99025025e-09,1,1.99025025e-09,0,1.99025025e-09,5.573421746315286e-10
